Actor,Message Eval Catagory,Current Time,Transit Time,Attack Status
DER,Ex,1645655860.207605,0.21,No Attack
DCM,Ex,1645655860.207612,0.25,No Attack
DERAS,Ex,1645655860.207615,0.44,No Attack
DTM,Ex,1645655860.207617,0.21,No Attack
DER,Ex,1645655861.207620,0.15,No Attack
DCM,Ex,1645655861.207622,0.34,No Attack
DERAS,Ex,1645655861.207624,0.39,No Attack
DTM,Ex,1645655861.207627,0.39,No Attack
DER,Ex,1645655862.207629,0.41,No Attack
DCM,Ex,1645655862.207631,0.41,No Attack
DERAS,Ex,1645655862.207633,0.16,No Attack
DTM,Ex,1645655862.207635,0.23,No Attack
DER,Ex,1645655863.207637,0.16,No Attack
DCM,Ex,1645655863.207639,0.31,No Attack
DERAS,Ex,1645655863.207641,0.35,No Attack
DTM,Ex,1645655863.207644,0.34,No Attack
DER,Ex,1645655864.207646,0.29,No Attack
DCM,Ex,1645655864.207648,0.2,No Attack
DERAS,Ex,1645655864.207650,0.26,No Attack
DTM,Ex,1645655864.207652,0.16,No Attack
DER,Ex,1645655865.207654,0.18,No Attack
DCM,Ex,1645655865.207656,0.37,No Attack
DERAS,Ex,1645655865.207658,0.32,No Attack
DTM,Ex,1645655865.207660,0.29,No Attack
DER,Ex,1645655866.207662,0.34,No Attack
DCM,Ex,1645655866.207664,0.38,No Attack
DERAS,Ex,1645655866.207666,0.4,No Attack
DTM,Ex,1645655866.207668,0.31,No Attack
DER,Ex,1645655867.207671,0.44,No Attack
DCM,Ex,1645655867.207673,0.42,No Attack
DERAS,Ex,1645655867.207675,0.18,No Attack
DTM,Ex,1645655867.207677,0.26,No Attack
DER,Ex,1645655868.207679,0.43,No Attack
DCM,Ex,1645655868.207681,0.33,No Attack
DERAS,Ex,1645655868.207683,0.18,No Attack
DTM,Ex,1645655868.207685,0.37,No Attack
DER,Ex,1645655869.207687,0.26,No Attack
DCM,Ex,1645655869.207689,0.22,No Attack
DERAS,Ex,1645655869.207691,0.38,No Attack
DTM,Ex,1645655869.207693,0.21,No Attack
DER,Ex,1645655870.207695,0.2,No Attack
DCM,Ex,1645655870.207697,0.26,No Attack
DERAS,Ex,1645655870.207699,0.38,No Attack
DTM,Ex,1645655870.207702,0.16,No Attack
DER,Ex,1645655871.207704,0.38,No Attack
DCM,Ex,1645655871.207706,0.25,No Attack
DERAS,Ex,1645655871.207708,0.33,No Attack
DTM,Ex,1645655871.207710,0.36,No Attack
DER,Ex,1645655872.207712,0.37,No Attack
DCM,Ex,1645655872.207714,0.18,No Attack
DERAS,Ex,1645655872.207716,0.2,No Attack
DTM,Ex,1645655872.207718,0.45,No Attack
DER,Ex,1645655873.207720,0.23,No Attack
DCM,Ex,1645655873.207722,0.3,No Attack
DERAS,Ex,1645655873.207724,0.36,No Attack
DTM,Ex,1645655873.207726,0.24,No Attack
DER,Ex,1645655874.207728,0.29,No Attack
DCM,Ex,1645655874.207730,0.23,No Attack
DERAS,Ex,1645655874.207732,0.36,No Attack
DTM,Ex,1645655874.207735,0.29,No Attack
DER,Ex,1645655875.207737,0.29,No Attack
DCM,Ex,1645655875.207739,0.37,No Attack
DERAS,Ex,1645655875.207741,0.15,No Attack
DTM,Ex,1645655875.207743,0.28,No Attack
DER,Ex,1645655876.207745,0.39,No Attack
DCM,Ex,1645655876.207747,0.34,No Attack
DERAS,Ex,1645655876.207749,0.16,No Attack
DTM,Ex,1645655876.207751,0.2,No Attack
DER,Ex,1645655877.207753,0.34,No Attack
DCM,Ex,1645655877.207755,0.31,No Attack
DERAS,Ex,1645655877.207757,0.31,No Attack
DTM,Ex,1645655877.207759,0.45,No Attack
DER,Ex,1645655878.207761,0.33,No Attack
DCM,Ex,1645655878.207763,0.41,No Attack
DERAS,Ex,1645655878.207765,0.35,No Attack
DTM,Ex,1645655878.207767,0.44,No Attack
DER,Ex,1645655879.207769,0.28,No Attack
DCM,Ex,1645655879.207771,0.34,No Attack
DERAS,Ex,1645655879.207773,0.4,No Attack
DTM,Ex,1645655879.207776,0.41,No Attack
DER,Ex,1645655880.207778,0.39,No Attack
DCM,Ex,1645655880.207780,0.34,No Attack
DERAS,Ex,1645655880.207782,0.27,No Attack
DTM,Ex,1645655880.207784,0.39,No Attack
DER,Ex,1645655881.207786,0.25,No Attack
DCM,Ex,1645655881.207788,0.22,No Attack
DERAS,Ex,1645655881.207790,0.17,No Attack
DTM,Ex,1645655881.207792,0.28,No Attack
DER,Ex,1645655882.207794,0.41,No Attack
DCM,Ex,1645655882.207796,0.18,No Attack
DERAS,Ex,1645655882.207798,0.32,No Attack
DTM,Ex,1645655882.207800,0.15,No Attack
DER,Ex,1645655883.207802,0.3,No Attack
DCM,Ex,1645655883.207804,0.2,No Attack
DERAS,Ex,1645655883.207806,0.36,No Attack
DTM,Ex,1645655883.207808,0.32,No Attack
DER,Ex,1645655884.207810,0.35,No Attack
DCM,Ex,1645655884.207812,0.32,No Attack
DERAS,Ex,1645655884.207814,0.27,No Attack
DTM,Ex,1645655884.207817,0.42,No Attack
DER,Ex,1645655885.207819,0.24,No Attack
DCM,Ex,1645655885.207821,0.4,No Attack
DERAS,Ex,1645655885.207823,0.2,No Attack
DTM,Ex,1645655885.207825,0.19,No Attack
DER,Ex,1645655886.207827,0.42,No Attack
DCM,Ex,1645655886.207829,0.2,No Attack
DERAS,Ex,1645655886.207831,0.37,No Attack
DTM,Ex,1645655886.207833,0.33,No Attack
DER,Ex,1645655887.207835,0.39,No Attack
DCM,Ex,1645655887.207837,0.3,No Attack
DERAS,Ex,1645655887.207839,0.36,No Attack
DTM,Ex,1645655887.207841,0.36,No Attack
DER,Ex,1645655888.207843,0.18,No Attack
DCM,Ex,1645655888.207845,0.37,No Attack
DERAS,Ex,1645655888.207847,0.23,No Attack
DTM,Ex,1645655888.207850,0.27,No Attack
DER,Ex,1645655889.207852,0.39,No Attack
DCM,Ex,1645655889.207854,0.37,No Attack
DERAS,Ex,1645655889.207856,0.34,No Attack
DTM,Ex,1645655889.207858,0.41,No Attack
DER,Ex,1645655890.207860,0.31,No Attack
DCM,Ex,1645655890.207862,0.23,No Attack
DERAS,Ex,1645655890.207864,0.4,No Attack
DTM,Ex,1645655890.207866,0.23,No Attack
DER,Ex,1645655891.207868,0.18,No Attack
DCM,Ex,1645655891.207870,0.24,No Attack
DERAS,Ex,1645655891.207872,0.38,No Attack
DTM,Ex,1645655891.207874,0.27,No Attack
DER,Ex,1645655892.207876,0.31,No Attack
DCM,Ex,1645655892.207879,0.4,No Attack
DERAS,Ex,1645655892.207881,0.4,No Attack
DTM,Ex,1645655892.207883,0.31,No Attack
DER,Ex,1645655893.207885,0.16,No Attack
DCM,Ex,1645655893.207887,0.43,No Attack
DERAS,Ex,1645655893.207889,0.24,No Attack
DTM,Ex,1645655893.207891,0.27,No Attack
DER,Ex,1645655894.207893,0.28,No Attack
DCM,Ex,1645655894.207895,0.27,No Attack
DERAS,Ex,1645655894.207897,0.24,No Attack
DTM,Ex,1645655894.207899,0.15,No Attack
DER,Ex,1645655895.207901,0.41,No Attack
DCM,Ex,1645655895.207903,0.37,No Attack
DERAS,Ex,1645655895.207905,0.4,No Attack
DTM,Ex,1645655895.207907,0.15,No Attack
DER,Ex,1645655896.207909,0.34,No Attack
DCM,Ex,1645655896.207911,0.33,No Attack
DERAS,Ex,1645655896.207913,0.28,No Attack
DTM,Ex,1645655896.207916,0.3,No Attack
DER,Ex,1645655897.207918,0.33,No Attack
DCM,Ex,1645655897.207919,0.31,No Attack
DERAS,Ex,1645655897.207922,0.29,No Attack
DTM,Ex,1645655897.207924,0.25,No Attack
DER,Ex,1645655898.207926,0.3,No Attack
DCM,Ex,1645655898.207928,0.2,No Attack
DERAS,Ex,1645655898.207930,0.41,No Attack
DTM,Ex,1645655898.207932,0.28,No Attack
DER,Ex,1645655899.207934,0.15,No Attack
DCM,Ex,1645655899.207936,0.45,No Attack
DERAS,Ex,1645655899.207938,0.35,No Attack
DTM,Ex,1645655899.207940,0.38,No Attack
DER,Ex,1645655900.207942,0.19,No Attack
