Actor,Message Eval Catagory,Current Time,Transit Time,Attack Status
DTM,Ux,1645665179.310979,0.003,No Attack
DTM,Ind,1645665180.310986,0.0021,No Attack
DTM,Err,1645665181.310989,0.004,No Attack
DER,Ind,1645665182.310992,0.0032,No Attack
DERAS,Dis,1645665183.310995,0.0016,No Attack
DCM,Ux,1645665184.310998,0.0021,No Attack
DERAS,Ux,1645665185.311000,0.0023,No Attack
DERAS,Ux,1645665186.311003,0.0023,No Attack
DTM,Ind,1645665187.311006,0.0024,No Attack
DER,Dis,1645665188.311008,0.0018,No Attack
DERAS,Ind,1645665189.311011,0.0042,No Attack
DTM,Ind,1645665190.311014,0.003,No Attack
DTM,Err,1645665191.311016,0.0031,No Attack
DCM,Dis,1645665192.311019,0.0021,No Attack
DCM,Ind,1645665193.311021,0.0032,No Attack
DCM,N,1645665194.311024,0.0034000000000000002,No Attack
DER,Ind,1645665195.311027,0.0018,No Attack
DTM,N,1645665196.311030,0.0043,No Attack
DTM,Err,1645665197.311033,0.0018,No Attack
DER,Ind,1645665198.311037,0.0024,No Attack
DCM,Dis,1645665199.311039,0.0019,No Attack
DERAS,Dis,1645665200.311042,0.0038,No Attack
DTM,N,1645665201.311044,0.002,No Attack
DTM,N,1645665202.311047,0.0038,No Attack
DTM,Dis,1645665203.311049,0.0039000000000000003,No Attack
DCM,N,1645665204.311052,0.0037,No Attack
DER,Dis,1645665205.311055,0.0036,No Attack
DERAS,Err,1645665206.311057,0.0042,No Attack
DCM,Dis,1645665207.311060,0.0044,No Attack
DERAS,N,1645665208.311062,0.0033,No Attack
DTM,Ind,1645665209.311065,0.0037,No Attack
DCM,N,1645665210.311068,0.0040999999999999995,No Attack
DER,Ind,1645665211.311071,0.0038,No Attack
DTM,Dis,1645665212.311073,0.0027,No Attack
DCM,Ind,1645665213.311076,0.0018,No Attack
DTM,N,1645665214.311078,0.0023,No Attack
DER,Err,1645665215.311081,0.0038,No Attack
DERAS,Ind,1645665216.311083,0.0040999999999999995,No Attack
DERAS,Ind,1645665217.311086,0.003,No Attack
DERAS,Dis,1645665218.311089,0.0040999999999999995,No Attack
DTM,Ux,1645665219.311092,0.0034999999999999996,No Attack
DERAS,Err,1645665220.311094,0.0045000000000000005,No Attack
DERAS,N,1645665221.311097,0.0040999999999999995,No Attack
DERAS,Dis,1645665222.311100,0.0045000000000000005,No Attack
DERAS,Dis,1645665223.311103,0.0044,No Attack
DER,Err,1645665224.311106,0.0038,No Attack
DERAS,N,1645665225.311108,0.0016,No Attack
DCM,N,1645665226.311111,0.0033,No Attack
DERAS,Dis,1645665227.311114,0.0042,No Attack
DCM,Err,1645665228.311116,0.0034000000000000002,No Attack
DER,Ind,1645665229.311119,0.0024,No Attack
DCM,Dis,1645665230.311121,0.0015,No Attack
DERAS,Ux,1645665231.311124,0.0021,No Attack
DER,Err,1645665232.311126,0.0033,No Attack
DER,Ux,1645665233.311129,0.0038,No Attack
DTM,Dis,1645665234.311131,0.0037,No Attack
DERAS,Err,1645665235.311134,0.0018,No Attack
DER,Ind,1645665236.311137,0.0038,No Attack
DTM,Ux,1645665237.311139,0.0043,No Attack
DTM,N,1645665238.311142,0.0034000000000000002,No Attack
DERAS,Ux,1645665239.311145,0.0015,No Attack
DER,Ux,1645665240.311148,0.0042,No Attack
DCM,Dis,1645665241.311150,0.0027,No Attack
DERAS,Ux,1645665242.311153,0.0025,No Attack
DER,Ind,1645665243.311155,0.0024,No Attack
DERAS,Dis,1645665244.311158,0.0044,No Attack
DTM,N,1645665245.311160,0.0018,No Attack
DTM,Dis,1645665246.311163,0.0043,No Attack
DCM,N,1645665247.311165,0.0025,No Attack
DCM,Err,1645665248.311168,0.0038,No Attack
DER,Ux,1645665249.311170,0.0029,No Attack
DERAS,Ind,1645665250.311173,0.004,No Attack
DERAS,Ind,1645665251.311176,0.0028000000000000004,No Attack
DER,N,1645665252.311179,0.0040999999999999995,No Attack
DERAS,Ux,1645665253.311182,0.0027,No Attack
DCM,Err,1645665254.311185,0.0045000000000000005,No Attack
DTM,N,1645665255.311187,0.0027,No Attack
DER,N,1645665256.311190,0.0026,No Attack
DTM,Ux,1645665257.311193,0.0039000000000000003,No Attack
DER,Dis,1645665258.311195,0.0031,No Attack
DERAS,Err,1645665259.311198,0.0026,No Attack
DCM,Err,1645665260.311200,0.002,No Attack
DTM,Ind,1645665261.311203,0.0044,No Attack
DERAS,Ux,1645665262.311206,0.0044,No Attack
DTM,Dis,1645665263.311208,0.0029,No Attack
DTM,Dis,1645665264.311211,0.0042,No Attack
DER,N,1645665265.311213,0.0026,No Attack
DTM,Dis,1645665266.311216,0.004,No Attack
DTM,Dis,1645665267.311218,0.0025,No Attack
DER,Ind,1645665268.311221,0.0039000000000000003,No Attack
DER,Ux,1645665269.311224,0.0024,No Attack
DCM,Ux,1645665270.311226,0.0022,No Attack
DER,Err,1645665271.311229,0.002,No Attack
DCM,Ind,1645665272.311231,0.0034000000000000002,No Attack
DTM,Ux,1645665273.311234,0.003,No Attack
DERAS,Dis,1645665274.311237,0.0018,No Attack
DCM,Err,1645665275.311239,0.003,No Attack
DTM,Ind,1645665276.311242,0.0024,No Attack
DTM,Dis,1645665277.311244,0.0034999999999999996,No Attack
DCM,Err,1645665278.311247,0.0039000000000000003,No Attack
DTM,Err,1645665279.311250,0.0036,No Attack
DERAS,Err,1645665280.311252,0.0044,No Attack
DERAS,Ux,1645665281.311255,0.0036,No Attack
DTM,Err,1645665282.311257,0.0033,No Attack
DTM,Dis,1645665283.311260,0.0021,No Attack
DTM,Dis,1645665284.311262,0.0028000000000000004,No Attack
DERAS,Ux,1645665285.311265,0.003,No Attack
DERAS,Ux,1645665286.311268,0.0024,No Attack
DERAS,Err,1645665287.311270,0.0028000000000000004,No Attack
DERAS,Dis,1645665288.311274,0.0016,No Attack
DTM,Err,1645665289.311276,0.0019,No Attack
DER,Err,1645665290.311279,0.004,No Attack
DERAS,Dis,1645665291.311281,0.0032,No Attack
DER,Ind,1645665292.311284,0.0025,No Attack
DERAS,Dis,1645665293.311286,0.0028000000000000004,No Attack
DTM,N,1645665294.311289,0.0039000000000000003,No Attack
DERAS,Err,1645665295.311292,0.0043,No Attack
DERAS,Ux,1645665296.311295,0.0023,No Attack
DERAS,Ind,1645665297.311297,0.0045000000000000005,No Attack
DTM,Ind,1645665298.311300,0.0031,No Attack
DTM,Ux,1645665299.311303,0.002,No Attack
DTM,Dis,1645665300.311305,0.0036,No Attack
DCM,Err,1645665301.311308,0.0034000000000000002,No Attack
DCM,Ux,1645665302.311311,0.003,No Attack
DER,Ux,1645665303.311313,0.0034999999999999996,No Attack
DTM,Err,1645665304.311316,0.0021,No Attack
DTM,N,1645665305.311318,0.0033,No Attack
DERAS,N,1645665306.311321,0.0039000000000000003,No Attack
DCM,N,1645665307.311324,0.0017000000000000001,No Attack
DCM,N,1645665308.311327,0.0038,No Attack
DER,Err,1645665309.311330,0.0037,No Attack
DER,N,1645665310.311332,0.004,No Attack
DERAS,Ux,1645665311.311335,0.0031,No Attack
DER,Ind,1645665312.311337,0.0037,No Attack
DTM,Dis,1645665313.311340,0.0032,No Attack
DTM,N,1645665314.311342,0.0029,No Attack
DERAS,Err,1645665315.311345,0.0028000000000000004,No Attack
DERAS,Ux,1645665316.311349,0.0019,No Attack
DERAS,Err,1645665317.311351,0.0043,No Attack
DERAS,Dis,1645665318.311354,0.0044,No Attack
DER,Err,1645665319.311356,0.002,No Attack
DERAS,N,1645665320.311359,0.0044,No Attack
DERAS,Err,1645665321.311361,0.0019,No Attack
DCM,N,1645665322.311364,0.0015,No Attack
DCM,Dis,1645665323.311366,0.0022,No Attack
DERAS,Dis,1645665324.311369,0.0018,No Attack
DERAS,N,1645665325.311371,0.0027,No Attack
DER,Ind,1645665326.311374,0.0033,No Attack
DCM,N,1645665327.311376,0.0019,No Attack
DERAS,Err,1645665328.311379,0.0022,No Attack
DTM,Ind,1645665329.311381,0.0036,No Attack
DERAS,Dis,1645665330.311384,0.0032,No Attack
DER,Err,1645665331.311386,0.0026,No Attack
DCM,Ux,1645665332.311389,0.0045000000000000005,No Attack
DER,Ux,1645665333.311392,0.0042,No Attack
DTM,Err,1645665334.311394,0.0021,No Attack
DER,Ux,1645665335.311397,0.0017000000000000001,No Attack
DTM,Ind,1645665336.311400,0.004,No Attack
DCM,Dis,1645665337.311402,0.0021,No Attack
DCM,Ux,1645665338.311405,0.0028000000000000004,No Attack
DTM,Ux,1645665339.311408,0.0045000000000000005,No Attack
DCM,Ind,1645665340.311411,0.0015,No Attack
DER,Err,1645665341.311413,0.003,No Attack
DCM,Dis,1645665342.311416,0.0033,No Attack
DTM,Ind,1645665343.311418,0.0039000000000000003,No Attack
DTM,Dis,1645665344.311421,0.0021,No Attack
DTM,Err,1645665345.311424,0.0018,No Attack
DERAS,Dis,1645665346.311426,0.0045000000000000005,No Attack
DER,Dis,1645665347.311429,0.002,No Attack
DERAS,N,1645665348.311432,0.0015,No Attack
DER,Dis,1645665349.311434,0.0043,No Attack
DCM,Ind,1645665350.311437,0.0023,No Attack
DCM,Dis,1645665351.311439,0.0023,No Attack
DER,N,1645665352.311480,0.0043,No Attack
DTM,Err,1645665353.311483,0.0034999999999999996,No Attack
DER,Ux,1645665354.311486,0.0040999999999999995,No Attack
DERAS,Ind,1645665355.311489,0.0042,No Attack
DTM,Dis,1645665356.311491,0.0044,No Attack
DTM,N,1645665357.311494,0.0026,No Attack
DCM,N,1645665358.311497,0.0042,No Attack
DTM,Ind,1645665359.311499,0.002,No Attack
DERAS,N,1645665360.311502,0.0024,No Attack
DTM,Dis,1645665361.311504,0.0016,No Attack
DTM,Ind,1645665362.311507,0.0025,No Attack
DER,Ind,1645665363.311509,0.003,No Attack
DCM,N,1645665364.311512,0.0026,No Attack
DTM,Ux,1645665365.311514,0.0018,No Attack
DER,Ux,1645665366.311517,0.0044,No Attack
DCM,Ind,1645665367.311519,0.004,No Attack
DERAS,N,1645665368.311522,0.0025,No Attack
DCM,N,1645665369.311524,0.0021,No Attack
DER,Err,1645665370.311527,0.0043,No Attack
DER,Ux,1645665371.311529,0.0034999999999999996,No Attack
DTM,Dis,1645665372.311532,0.0024,No Attack
DER,Ux,1645665373.311535,0.0026,No Attack
DER,Ux,1645665374.311537,0.0033,No Attack
DCM,Ux,1645665375.311539,0.0016,No Attack
DTM,Err,1645665376.311542,0.0034000000000000002,No Attack
DER,Ux,1645665377.311545,0.0034999999999999996,No Attack
DERAS,Dis,1645665378.311548,0.0036,No Attack
DER,Ind,1645665379.311550,0.0021,No Attack
DTM,Ux,1645665380.311553,0.0032,No Attack
DER,Dis,1645665381.311555,0.0015,No Attack
DER,Ux,1645665382.311558,0.0036,No Attack
DTM,Dis,1645665383.311560,0.0019,No Attack
DTM,N,1645665384.311563,0.0016,No Attack
DCM,Ux,1645665385.311565,0.0043,No Attack
DERAS,Dis,1645665386.311568,0.0037,No Attack
DCM,Dis,1645665387.311570,0.0032,No Attack
DCM,Ux,1645665388.311573,0.0045000000000000005,No Attack
DCM,Dis,1645665389.311576,0.0039000000000000003,No Attack
DTM,N,1645665390.311579,0.0024,No Attack
DERAS,Err,1645665391.311581,0.0031,No Attack
DTM,Dis,1645665392.311584,0.0036,No Attack
DER,Ux,1645665393.311586,0.0040999999999999995,No Attack
DCM,Err,1645665394.311589,0.004,No Attack
DER,Ux,1645665395.311592,0.0022,No Attack
DTM,Ind,1645665396.311594,0.0019,No Attack
DCM,Ux,1645665397.311597,0.0045000000000000005,No Attack
DER,Ind,1645665398.311599,0.0026,No Attack
DTM,Ind,1645665399.311602,0.0029,No Attack
DER,Ind,1645665400.311604,0.004,No Attack
DER,Dis,1645665401.311607,0.0042,No Attack
DCM,Ind,1645665402.311610,0.0031,No Attack
DER,N,1645665403.311612,0.003,No Attack
DTM,Err,1645665404.311614,0.0015,No Attack
DERAS,N,1645665405.311617,0.004,No Attack
DER,Ux,1645665406.311619,0.0019,No Attack
DER,Dis,1645665407.311622,0.0029,No Attack
DTM,Dis,1645665408.311624,0.0027,No Attack
DER,Dis,1645665409.311627,0.0029,No Attack
DER,N,1645665410.311629,0.0037,No Attack
DER,Dis,1645665411.311632,0.0038,No Attack
DTM,Ux,1645665412.311634,0.0019,No Attack
DCM,N,1645665413.311637,0.0038,No Attack
DERAS,N,1645665414.311640,0.003,No Attack
DERAS,Ind,1645665415.311642,0.0023,No Attack
DERAS,Err,1645665416.311645,0.0019,No Attack
DCM,N,1645665417.311647,0.0036,No Attack
DER,Ux,1645665418.311650,0.0036,No Attack
DERAS,Ind,1645665419.311652,0.0025,No Attack
DCM,Err,1645665420.311655,0.002,No Attack
DCM,N,1645665421.311657,0.0026,No Attack
DCM,Dis,1645665422.311660,0.0033,No Attack
DERAS,Ind,1645665423.311662,0.0017000000000000001,No Attack
DER,Dis,1645665424.311665,0.0015,No Attack
DER,Dis,1645665425.311668,0.0034000000000000002,No Attack
DER,Err,1645665426.311671,0.0016,No Attack
DERAS,Dis,1645665427.311674,0.0034999999999999996,No Attack
DER,Ind,1645665428.311677,0.0034999999999999996,No Attack
DERAS,N,1645665429.311679,0.003,No Attack
DTM,Err,1645665430.311682,0.0026,No Attack
DCM,Ind,1645665431.311684,0.0043,No Attack
DERAS,N,1645665432.311687,0.0038,No Attack
DER,N,1645665433.311690,0.0037,No Attack
DERAS,N,1645665434.311692,0.0034000000000000002,No Attack
DTM,N,1645665435.311695,0.002,No Attack
DER,N,1645665436.311698,0.0029,No Attack
DTM,Err,1645665437.311700,0.0039000000000000003,No Attack
DERAS,N,1645665438.311703,0.0027,No Attack
DERAS,Ind,1645665439.311706,0.0045000000000000005,No Attack
DERAS,Ux,1645665440.311709,0.0036,No Attack
DTM,Ux,1645665441.311711,0.0016,No Attack
DCM,Err,1645665442.311714,0.0044,No Attack
DERAS,Ux,1645665443.311717,0.0024,No Attack
DCM,N,1645665444.311719,0.0043,No Attack
DER,N,1645665445.311722,0.0038,No Attack
DER,Dis,1645665446.311724,0.0036,No Attack
DTM,Ind,1645665447.311727,0.0025,No Attack
DCM,Ux,1645665448.311730,0.0040999999999999995,No Attack
DER,Ux,1645665449.311732,0.0033,No Attack
DCM,N,1645665450.311735,0.0033,No Attack
DERAS,Dis,1645665451.311738,0.0017000000000000001,No Attack
DTM,Ind,1645665452.311741,0.002,No Attack
DER,Ind,1645665453.311743,0.0034999999999999996,No Attack
DTM,Dis,1645665454.311746,0.0018,No Attack
DER,Dis,1645665455.311749,0.0024,No Attack
DTM,Ind,1645665456.311751,0.0026,No Attack
DCM,Ux,1645665457.311754,0.004,No Attack
DCM,Dis,1645665458.311756,0.0040999999999999995,No Attack
DER,Err,1645665459.311759,0.0023,No Attack
DER,Ind,1645665460.311762,0.0036,No Attack
DTM,Dis,1645665461.311764,0.0044,No Attack
DERAS,N,1645665462.311767,0.0039000000000000003,No Attack
DTM,Ux,1645665463.311770,0.0029,No Attack
DER,Ind,1645665464.311772,0.0018,No Attack
DER,N,1645665465.311775,0.0016,No Attack
DERAS,N,1645665466.311777,0.0024,No Attack
DER,Ux,1645665467.311780,0.0015,No Attack
DER,Err,1645665468.311783,0.0018,No Attack
DERAS,Dis,1645665469.311785,0.0028000000000000004,No Attack
DTM,Dis,1645665470.311788,0.0015,No Attack
DCM,Ind,1645665471.311791,0.0029,No Attack
DCM,Ind,1645665472.311793,0.0040999999999999995,No Attack
DERAS,Ind,1645665473.311796,0.0031,No Attack
DER,N,1645665474.311799,0.0043,No Attack
DTM,N,1645665475.311801,0.0018,No Attack
DERAS,Err,1645665476.311804,0.0021,No Attack
DER,Err,1645665477.311806,0.0029,No Attack
DER,Err,1645665478.311809,0.0026,No Attack
DTM,Ind,1645665479.311811,0.0038,No Attack
DTM,Ind,1645665480.311814,0.0031,No Attack
DER,N,1645665481.311816,0.002,No Attack
DERAS,Dis,1645665482.311819,0.0038,No Attack
DER,N,1645665483.311822,0.0042,No Attack
DCM,Ux,1645665484.311824,0.0029,No Attack
DCM,Err,1645665485.311826,0.0033,No Attack
DERAS,Ind,1645665486.311829,0.0016,No Attack
DTM,Dis,1645665487.311831,0.0033,No Attack
DCM,Dis,1645665488.311834,0.0044,No Attack
DTM,Dis,1645665489.311836,0.0042,No Attack
DER,Ind,1645665490.311839,0.0038,No Attack
DCM,Dis,1645665491.311841,0.004,No Attack
DERAS,N,1645665492.311844,0.0039000000000000003,No Attack
DCM,Ux,1645665493.311846,0.0022,No Attack
DER,Ux,1645665494.311849,0.0029,No Attack
DTM,Ind,1645665495.311852,0.0022,No Attack
DCM,Dis,1645665496.311854,0.0019,No Attack
DERAS,Ux,1645665497.311857,0.0024,No Attack
DER,Err,1645665498.311859,0.0025,No Attack
DER,Ux,1645665499.311862,0.0015,No Attack
DTM,N,1645665500.311864,0.0017000000000000001,No Attack
DERAS,Ux,1645665501.311867,0.0025,No Attack
DTM,Dis,1645665502.311870,0.0034999999999999996,No Attack
DERAS,Dis,1645665503.311873,0.0027,No Attack
DER,Dis,1645665504.311875,0.0019,No Attack
DER,N,1645665505.311878,0.0025,No Attack
DERAS,Err,1645665506.311880,0.0040999999999999995,No Attack
DER,Dis,1645665507.311883,0.0036,No Attack
DCM,Dis,1645665508.311886,0.0031,No Attack
DERAS,Err,1645665509.311888,0.0045000000000000005,No Attack
DERAS,Ux,1645665510.311891,0.0022,No Attack
DERAS,Ux,1645665511.311894,0.0017000000000000001,No Attack
DCM,Err,1645665512.311897,0.0028000000000000004,No Attack
DER,N,1645665513.311900,0.0032,No Attack
DER,Ind,1645665514.311902,0.0042,No Attack
DCM,Err,1645665515.311905,0.0045000000000000005,No Attack
DTM,Ind,1645665516.311908,0.0042,No Attack
DERAS,Dis,1645665517.311910,0.002,No Attack
DERAS,Ind,1645665518.311913,0.0024,No Attack
DERAS,Dis,1645665519.311915,0.0045000000000000005,No Attack
DTM,Dis,1645665520.311919,0.0042,No Attack
DERAS,Err,1645665521.311921,0.0015,No Attack
DER,N,1645665522.311924,0.0040999999999999995,No Attack
DERAS,Dis,1645665523.311926,0.0026,No Attack
DERAS,Ind,1645665524.311929,0.0021,No Attack
DER,N,1645665525.311931,0.0024,No Attack
DCM,Ind,1645665526.311934,0.002,No Attack
DTM,Ind,1645665527.311981,0.0022,No Attack
DER,Dis,1645665528.311984,0.0032,No Attack
DER,Ux,1645665529.311986,0.0036,No Attack
DERAS,Ind,1645665530.311989,0.0025,No Attack
DTM,Ux,1645665531.311992,0.0015,No Attack
DTM,Ux,1645665532.311994,0.0018,No Attack
DERAS,Ux,1645665533.311997,0.0042,No Attack
DCM,Ux,1645665534.312000,0.0019,No Attack
DCM,Ind,1645665535.312002,0.0024,No Attack
DTM,Ux,1645665536.312005,0.0027,No Attack
DERAS,Err,1645665537.312008,0.0028000000000000004,No Attack
DCM,Dis,1645665538.312011,0.0043,No Attack
DERAS,Err,1645665539.312013,0.0034999999999999996,No Attack
DCM,Err,1645665540.312016,0.0034000000000000002,No Attack
DER,Dis,1645665541.312019,0.0038,No Attack
DTM,Dis,1645665542.312022,0.003,No Attack
DTM,Err,1645665543.312024,0.0031,No Attack
DCM,Dis,1645665544.312027,0.0034000000000000002,No Attack
DCM,Ind,1645665545.312030,0.0031,No Attack
DERAS,Ux,1645665546.312032,0.0044,No Attack
DTM,N,1645665547.312035,0.0024,No Attack
DERAS,Ind,1645665548.312037,0.0038,No Attack
DER,Err,1645665549.312040,0.0042,No Attack
DTM,Ux,1645665550.312042,0.0024,No Attack
DERAS,Ind,1645665551.312045,0.0044,No Attack
DTM,Dis,1645665552.312047,0.0015,No Attack
DER,Dis,1645665553.312050,0.0042,No Attack
DTM,Dis,1645665554.312053,0.0019,No Attack
DCM,Ux,1645665555.312055,0.0026,No Attack
DER,N,1645665556.312058,0.0022,No Attack
DERAS,N,1645665557.312060,0.0037,No Attack
DERAS,Dis,1645665558.312063,0.0029,No Attack
DER,Err,1645665559.312065,0.0037,No Attack
DCM,Dis,1645665560.312068,0.0034999999999999996,No Attack
DTM,Ux,1645665561.312071,0.0031,No Attack
DTM,Err,1645665562.312073,0.0021,No Attack
DCM,Dis,1645665563.312076,0.0029,No Attack
DER,Err,1645665564.312078,0.003,No Attack
DTM,Err,1645665565.312081,0.0027,No Attack
DER,Ux,1645665566.312083,0.0037,No Attack
DTM,Dis,1645665567.312086,0.0036,No Attack
DCM,Ind,1645665568.312088,0.0027,No Attack
DERAS,Ux,1645665569.312091,0.0017000000000000001,No Attack
DTM,N,1645665570.312094,0.002,No Attack
DTM,Ux,1645665571.312097,0.0029,No Attack
DER,Dis,1645665572.312099,0.0039000000000000003,No Attack
DTM,Err,1645665573.312102,0.0044,No Attack
DERAS,Ind,1645665574.312104,0.0043,No Attack
DERAS,Ux,1645665575.312107,0.003,No Attack
DCM,Dis,1645665576.312109,0.0024,No Attack
DTM,Err,1645665577.312112,0.0036,No Attack
DER,N,1645665578.312114,0.004,No Attack
DTM,Dis,1645665579.312117,0.0019,No Attack
