Ideal_40hr_35min_SPC59.csv,11/03/2022
Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,relative factor of certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,Max CommFreq,Min TSLC,DTM response
DER,Ex,1647052807.495973,0.37,0.1,0,0.0,0.1,1.0,1,0,1,1647052807.495973,1647052807.495973,0.001,0.37,0.185,0,0,0,0,0.2193171219946131,0.0,100000.0,Do nothing
DCM,Ex,1647054907.495981,0.24,0.1,0,0.0,0.1,1.0,1,0,1,1647054907.495981,1647054907.495981,0.001,0.24,0.08,0,0,0,0,0.10583005244258363,0.0,100000.0,Do nothing
DERAS,Ex,1647057007.495984,0.34,0.1,0,0.0,0.1,1.0,1,0,1,1647057007.495984,1647057007.495984,0.001,0.34,0.085,0,0,0,0,0.1009950493836208,0.0,100000.0,Do nothing
DTM,Ex,1647059107.495986,0.44,0.1,0,0.0,0.1,1.0,1,0,1,1647059107.495986,1647059107.495986,0.001,0.44,0.088,0,0,0,0,0.16248076809271922,0.0,100000.0,Do nothing
DER,Ex,1647061207.495988,0.19,0.2,0,0.0,0.0226577575706137,1.0,2,0,2,1647061207.495988,1647052807.495973,0.00023809523767624852,0.19,0.18583333333333332,8400.000014781952,0,0,0,0.19229317893952105,0.001,8400.000014781952,Do nothing
DCM,Ex,1647063307.495991,0.45,0.2,0,0.0,0.022657757583475678,1.0,2,0,2,1647063307.495991,1647054907.495981,0.00023809523781140646,0.45,0.13285714285714284,8400.00001001358,0,0,0,0.07488085774844504,0.001,8400.00001001358,Do nothing
DERAS,Ex,1647065407.495993,0.17,0.2,0,0.0,0.022657757586691172,1.0,2,0,2,1647065407.495993,1647057007.495984,0.00023809523784519595,0.17,0.09562500000000002,8400.000008821487,0,0,0,0.10768671492541954,0.001,8400.000008821487,Do nothing
DTM,Ex,1647067507.495995,0.34,0.2,0,0.0,0.022657757586048072,1.0,2,0,2,1647067507.495995,1647059107.495986,0.00023809523783843803,0.34,0.116,8400.000009059906,0,0,0,0.06156297588648554,0.001,8400.000009059906,Do nothing
DER,Ex,1647069607.495997,0.44,0.0679732727118411,0,0.0,0.024873575603082995,1.0,3,0,3,1647069607.495997,1647052807.495973,0.00017857142831800745,0.44,0.21125,8400.000009059906,0,0,0,0.10510136200971087,0.001,8400.000009059906,Do nothing
DCM,Ex,1647071707.495999,0.44,0.06797327275042703,0,0.0,0.024873575611554885,1.0,3,0,3,1647071707.495999,1647054907.495981,0.00017857142837882854,0.44,0.16077922077922074,8400.000008106232,0,0,0,0.050632364784161124,0.001,8400.000008106232,Do nothing
DERAS,Ex,1647073807.496002,0.2,0.06797327276007352,0,0.0,0.02487357561120189,1.0,3,0,3,1647073807.496002,1647057007.495984,0.00017857142838136275,0.2,0.10432291666666667,8400.000009059906,0,0,0,0.08709864661649022,0.001,8400.000008821487,Do nothing
DTM,Ex,1647075907.496004,0.22,0.06797327275814422,0,0.0,0.024873575611554885,1.0,3,0,3,1647075907.496004,1647059107.495986,0.00017857142837882854,0.22,0.12400000000000001,8400.000009059906,0,0,0,0.09179687721631204,0.001,8400.000009059906,Do nothing
DER,Ex,1647078007.496006,0.43,0.09949430241233198,0,0.0,0.028772896299261653,1.0,4,0,4,1647078007.496006,1647052807.495973,0.00015873015852291657,0.43,0.226875,8400.000009059906,0,0,0,0.10107594250782999,0.001,8400.000009059906,Do nothing
DCM,Ex,1647080107.496008,0.31,0.09949430244621954,0,0.0,0.028772896303617207,1.0,4,0,4,1647080107.496008,1647054907.495981,0.00015873015856046044,0.31,0.1707272727272727,8400.000008821487,0,0,0,0.0942901415725613,0.001,8400.000008106232,Do nothing
DERAS,Ex,1647082207.496010,0.2,0.09949430244480756,0,0.0,0.02877289630715609,1.0,4,0,4,1647082207.49601,1647057007.495984,0.00015873015856646746,0.2,0.110302734375,8400.000008106232,0,0,0,0.077960382121662,0.001,8400.000008106232,Do nothing
DTM,Ex,1647084307.496013,0.17,0.09949430244621954,0,0.0,0.028772896306067202,1.0,4,0,4,1647084307.496013,1647059107.495986,0.00015873015856046044,0.17,0.1267058823529412,8400.000008821487,0,0,0,0.08619958031834508,0.001,8400.000008821487,Do nothing
DER,Ex,1647086407.496015,0.28,0.14386448149630826,0,0.0,0.032916550097075656,1.0,5,0,5,1647086407.496015,1647052807.495973,0.00014880952362368165,0.28,0.22982638888888887,8400.000009059906,0,0,0,0.11244642878457825,0.001,8400.000009059906,Do nothing
DCM,Ex,1647088507.496017,0.34,0.14386448151808603,0,0.0,0.03291655009917778,1.0,5,0,5,1647088507.496017,1647054907.495981,0.0001488095236500797,0.34,0.1796363636363636,8400.000009059906,0,0,0,0.08235547487826318,0.001,8400.000008106232,Do nothing
DERAS,Ex,1647090607.496019,0.3,0.14386448153578046,0,0.0,0.0329165501012799,1.0,5,0,5,1647090607.496019,1647057007.495984,0.0001488095236553593,0.3,0.11978759765625,8400.000008821487,0,0,0,0.05752730151335011,0.001,8400.000008106232,Do nothing
DTM,Ex,1647092707.496021,0.16,0.143864481530336,0,0.0,0.032916550103849154,1.0,5,0,5,1647092707.496021,1647059107.495986,0.00014880952365430337,0.16,0.1282913165266107,8400.000008106232,0,0,0,0.07841054065082108,0.001,8400.000008106232,Do nothing
DER,Ex,1647094807.496024,0.19,0.19749930058245393,0,0.0,0.03702596842927136,1.0,6,0,6,1647094807.496024,1647052807.495973,0.00014285714268441103,0.19,0.2280160984848485,8400.000008821487,0,0,0,0.10591620955438524,0.001,8400.000008821487,Do nothing
