Actor,Message Eval Catagory,Current Time,Transit Time,Attack Status
DER,Ex,1647052499.198466,0.22,No Attack
DCM,Ex,1647053399.198474,0.28,No Attack
DERAS,Ex,1647054299.198477,0.23,No Attack
DTM,Ex,1647055199.198480,0.15,No Attack
DER,Ex,1647056099.198482,0.26,No Attack
DCM,Ex,1647056999.198484,0.36,No Attack
DERAS,Ex,1647057899.198486,0.34,No Attack
DTM,Ex,1647058799.198489,0.38,No Attack
DER,Ex,1647059699.198491,0.35,No Attack
DCM,Ex,1647060599.198493,0.28,No Attack
DERAS,Ex,1647061499.198495,0.37,No Attack
DTM,Ex,1647062399.198498,0.26,No Attack
DER,Ex,1647063299.198500,0.28,No Attack
DCM,Ex,1647064199.198502,0.17,No Attack
DERAS,Ex,1647065099.198504,0.42,No Attack
DTM,Ex,1647065999.198506,0.4,No Attack
DER,Ex,1647066899.198508,0.25,No Attack
DCM,Ex,1647067799.198511,0.25,No Attack
DERAS,Ex,1647068699.198513,0.18,No Attack
DTM,Ex,1647069599.198515,0.3,No Attack
DER,Ex,1647070499.198518,0.24,No Attack
DCM,Ex,1647071399.198520,0.25,No Attack
DERAS,Ex,1647072299.198522,0.44,No Attack
DTM,Ex,1647073199.198524,0.3,No Attack
DER,Ex,1647074099.198526,0.4,No Attack
DCM,Ex,1647074999.198528,0.32,No Attack
DERAS,Ex,1647075899.198531,0.22,No Attack
DTM,Ex,1647076799.198533,0.22,No Attack
DER,Ex,1647077699.198535,0.27,No Attack
DCM,Ex,1647078599.198537,0.18,No Attack
DERAS,Ex,1647079499.198539,0.45,No Attack
DTM,Ex,1647080399.198541,0.34,No Attack
DER,Ex,1647081299.198543,0.22,No Attack
DCM,Ex,1647082199.198546,0.26,No Attack
DERAS,Ex,1647083099.198548,0.16,No Attack
DTM,Ex,1647083999.198550,0.36,No Attack
DER,Ex,1647084899.198552,0.32,No Attack
DCM,Ex,1647085799.198554,0.35,No Attack
DERAS,Ex,1647086699.198556,0.21,No Attack
DTM,Ex,1647087599.198558,0.17,No Attack
DER,Ex,1647088499.198561,0.17,No Attack
DCM,Ex,1647089399.198563,0.31,No Attack
DERAS,Ex,1647090299.198565,0.37,No Attack
DTM,Ex,1647091199.198567,0.42,No Attack
DER,Ex,1647092099.198569,0.21,No Attack
DCM,Ex,1647092999.198571,0.36,No Attack
DERAS,Ex,1647093899.198573,0.37,No Attack
DTM,Ex,1647094799.198575,0.44,No Attack
DER,Ex,1647095699.198578,0.42,No Attack
DCM,Ex,1647096599.198580,0.25,No Attack
DERAS,Ex,1647097499.198582,0.2,No Attack
DTM,Ex,1647098399.198584,0.41,No Attack
DER,Ex,1647099299.198586,0.2,No Attack
DCM,Ex,1647100199.198588,0.42,No Attack
DERAS,Ex,1647101099.198591,0.22,No Attack
DTM,Ex,1647101999.198593,0.31,No Attack
DER,Ex,1647102899.198595,0.22,No Attack
DCM,Ex,1647103799.198597,0.32,No Attack
DERAS,Ex,1647104699.198599,0.44,No Attack
DTM,Ex,1647105599.198601,0.23,No Attack
DER,Ex,1647106499.198603,0.3,No Attack
DCM,Ex,1647107399.198607,0.35,No Attack
DERAS,Ex,1647108299.198610,0.29,No Attack
DTM,Ex,1647109199.198612,0.3,No Attack
DER,Ex,1647110099.198614,0.37,No Attack
DCM,Ex,1647110999.198616,0.24,No Attack
DERAS,Ex,1647111899.198618,0.24,No Attack
DTM,Ex,1647112799.198620,0.24,No Attack
DER,Ex,1647113699.198623,0.28,No Attack
DCM,Ex,1647114599.198625,0.43,No Attack
DERAS,Ex,1647115499.198627,0.19,No Attack
DTM,Ex,1647116399.198629,0.22,No Attack
DER,Ex,1647117299.198631,0.43,No Attack
DCM,Ex,1647118199.198633,0.25,No Attack
DERAS,Ex,1647119099.198635,0.19,No Attack
DTM,Ex,1647119999.198638,0.29,No Attack
DER,Ex,1647120899.198640,0.33,No Attack
