Actor,Message Eval Catagory,Current Time,Transit Time,Attack Status
DER,Ex,1646183941.627330,0.22,No Attack
DCM,Ex,1646183941.627337,0.24,No Attack
DERAS,Ex,1646183941.627340,0.41,No Attack
DTM,Ex,1646183941.627342,0.45,No Attack
DER,Ex,1646184241.627344,0.24,No Attack
DCM,Ex,1646184241.627346,0.19,No Attack
DERAS,Ex,1646184241.627349,0.35,No Attack
DTM,Ex,1646184241.627351,0.38,No Attack
DER,Ex,1646184541.627353,0.32,No Attack
DCM,Ex,1646184541.627355,0.23,No Attack
DERAS,Ex,1646184541.627356,0.18,No Attack
DTM,Ex,1646184541.627358,0.36,No Attack
DER,Ex,1646184841.627360,0.32,No Attack
DCM,Ex,1646184841.627362,0.37,No Attack
DERAS,Ex,1646184841.627364,0.38,No Attack
DTM,Ex,1646184841.627366,0.41,No Attack
DER,Ex,1646185141.627368,0.22,No Attack
DCM,Ex,1646185141.627370,0.31,No Attack
DERAS,Ex,1646185141.627372,0.33,No Attack
DTM,Ex,1646185141.627374,0.36,No Attack
DER,Ex,1646185441.627376,0.2,No Attack
DCM,Ex,1646185441.627378,0.21,No Attack
DERAS,Ex,1646185441.627380,0.2,No Attack
DTM,Ex,1646185441.627382,0.34,No Attack
DER,Ex,1646185741.627383,0.45,No Attack
DCM,Ex,1646185741.627385,0.18,No Attack
DERAS,Ex,1646185741.627387,0.15,No Attack
DTM,Ex,1646185741.627389,0.24,No Attack
DER,Ex,1646186041.627391,0.16,No Attack
DCM,Ex,1646186041.627393,0.19,No Attack
DERAS,Ex,1646186041.627395,0.2,No Attack
DTM,Ex,1646186041.627397,0.22,No Attack
DER,Ex,1646186341.627399,0.41,No Attack
DCM,Ex,1646186341.627401,0.42,No Attack
DERAS,Ex,1646186341.627403,0.43,No Attack
DTM,Ex,1646186341.627405,0.37,No Attack
DER,Ex,1646186641.627407,0.33,No Attack
DCM,Ex,1646186641.627409,0.2,No Attack
DERAS,Ex,1646186641.627411,0.18,No Attack
DTM,Ex,1646186641.627413,0.26,No Attack
DER,Ex,1646186941.627415,0.15,No Attack
DCM,Ex,1646186941.627416,0.32,No Attack
DERAS,Ex,1646186941.627418,0.25,No Attack
DTM,Ex,1646186941.627421,0.42,No Attack
DER,Ex,1646187241.627422,0.15,No Attack
DCM,Ex,1646187241.627424,0.19,No Attack
DERAS,Ex,1646187241.627426,0.26,No Attack
DTM,Ex,1646187241.627428,0.27,No Attack
DER,Ex,1646187541.627430,0.15,No Attack
DCM,Ex,1646187541.627432,0.17,No Attack
DERAS,Ex,1646187541.627434,0.27,No Attack
DTM,Ex,1646187541.627436,0.28,No Attack
DER,Ex,1646187841.627438,0.32,No Attack
DCM,Ex,1646187841.627440,0.19,No Attack
DERAS,Ex,1646187841.627442,0.21,No Attack
DTM,Ex,1646187841.627444,0.23,No Attack
