Actor,Message Eval Catagory,Current Time,Transit Time,Attack Status
DER,Ex,1646183953.386460,0.22,No Attack
DCM,Ex,1646183953.386467,0.42,No Attack
DERAS,Ex,1646183953.386470,0.32,No Attack
DTM,Ex,1646183953.386472,0.39,No Attack
DER,Ex,1646184253.386474,0.21,No Attack
DCM,Ex,1646184253.386476,0.26,No Attack
DERAS,Ex,1646184253.386478,0.17,No Attack
DTM,Ex,1646184253.386480,0.39,No Attack
DER,Ex,1646184553.386482,0.25,No Attack
DCM,Ex,1646184553.386484,0.26,No Attack
DERAS,Ex,1646184553.386487,0.32,No Attack
DTM,Ex,1646184553.386489,0.26,No Attack
DER,Ex,1646184853.386490,0.45,No Attack
DCM,Ex,1646184853.386492,0.33,No Attack
DERAS,Ex,1646184853.386494,0.36,No Attack
DTM,Ex,1646184853.386496,0.26,No Attack
DER,Ex,1646185153.386498,0.16,No Attack
DCM,Ex,1646185153.386500,0.19,No Attack
DERAS,Ex,1646185153.386502,0.41,No Attack
DTM,Ex,1646185153.386504,0.37,No Attack
DER,Ex,1646185453.386506,0.45,No Attack
DCM,Ex,1646185453.386508,0.33,No Attack
DERAS,Ex,1646185453.386510,0.36,No Attack
DTM,Ex,1646185453.386512,0.4,No Attack
DER,Ex,1646185753.386514,0.35,No Attack
DCM,Ex,1646185753.386516,0.26,No Attack
DERAS,Ex,1646185753.386518,0.16,No Attack
DTM,Ex,1646185753.386520,0.41,No Attack
DER,Ex,1646186053.386522,0.27,No Attack
DCM,Ex,1646186053.386523,0.27,No Attack
DERAS,Ex,1646186053.386525,0.3,No Attack
DTM,Ex,1646186053.386527,0.29,No Attack
DER,Ex,1646186353.386529,0.32,No Attack
DCM,Ex,1646186353.386531,0.4,No Attack
DERAS,Ex,1646186353.386533,0.32,No Attack
DTM,Ex,1646186353.386535,0.35,No Attack
DER,Ex,1646186653.386537,0.29,No Attack
DCM,Ex,1646186653.386539,0.38,No Attack
DERAS,Ex,1646186653.386541,0.26,No Attack
DTM,Ex,1646186653.386543,0.25,No Attack
DER,Ex,1646186953.386545,0.39,No Attack
DCM,Ex,1646186953.386547,0.2,No Attack
DERAS,Ex,1646186953.386548,0.16,No Attack
DTM,Ex,1646186953.386550,0.4,No Attack
DER,Ex,1646187253.386552,0.28,No Attack
DCM,Ex,1646187253.386554,0.38,No Attack
DERAS,Ex,1646187253.386556,0.26,No Attack
DTM,Ex,1646187253.386558,0.31,No Attack
DER,Ex,1646187553.386560,0.32,No Attack
DCM,Ex,1646187553.386562,0.37,No Attack
DERAS,Ex,1646187553.386563,0.37,No Attack
DTM,Ex,1646187553.386565,0.4,No Attack
DER,Ex,1646187853.386567,0.23,No Attack
DCM,Ex,1646187853.386569,0.17,No Attack
DERAS,Ex,1646187853.386571,0.38,No Attack
DTM,Ex,1646187853.386573,0.18,No Attack
