Actor,Message Eval Catagory,Current Time,Transit Time,Attack Status
DER,Ex,1646183958.922035,0.3,No Attack
DCM,Ex,1646183958.922042,0.38,No Attack
DERAS,Ex,1646183958.922045,0.38,No Attack
DTM,Ex,1646183958.922047,0.33,No Attack
DER,Ex,1646184258.922049,0.22,No Attack
DCM,Ex,1646184258.922052,0.25,No Attack
DERAS,Ex,1646184258.922054,0.33,No Attack
DTM,Ex,1646184258.922056,0.35,No Attack
DER,Ex,1646184558.922059,0.16,No Attack
DCM,Ex,1646184558.922061,0.37,No Attack
DERAS,Ex,1646184558.922063,0.18,No Attack
DTM,Ex,1646184558.922065,0.35,No Attack
DER,Ex,1646184858.922067,0.24,No Attack
DCM,Ex,1646184858.922069,0.24,No Attack
DERAS,Ex,1646184858.922071,0.23,No Attack
DTM,Ex,1646184858.922073,0.41,No Attack
DER,Ex,1646185158.922075,0.29,No Attack
DCM,Ex,1646185158.922078,0.21,No Attack
DERAS,Ex,1646185158.922080,0.17,No Attack
DTM,Ex,1646185158.922082,0.35,No Attack
DER,Ex,1646185458.922084,0.34,No Attack
DCM,Ex,1646185458.922086,0.41,No Attack
DERAS,Ex,1646185458.922088,0.24,No Attack
DTM,Ex,1646185458.922090,0.26,No Attack
DER,Ex,1646185758.922092,0.24,No Attack
DCM,Ex,1646185758.922094,0.4,No Attack
DERAS,Ex,1646185758.922096,0.17,No Attack
DTM,Ex,1646185758.922099,0.24,No Attack
DER,Ex,1646186058.922101,0.24,No Attack
DCM,Ex,1646186058.922103,0.44,No Attack
DERAS,Ex,1646186058.922105,0.37,No Attack
DTM,Ex,1646186058.922107,0.44,No Attack
DER,Ex,1646186358.922109,0.26,No Attack
DCM,Ex,1646186358.922111,0.38,No Attack
DERAS,Ex,1646186358.922113,0.34,No Attack
DTM,Ex,1646186358.922115,0.37,No Attack
DER,Ex,1646186658.922117,0.43,No Attack
DCM,Ex,1646186658.922119,0.45,No Attack
DERAS,Ex,1646186658.922121,0.31,No Attack
DTM,Ex,1646186658.922123,0.2,No Attack
DER,Ex,1646186958.922125,0.23,No Attack
DCM,Ex,1646186958.922127,0.18,No Attack
DERAS,Ex,1646186958.922129,0.24,No Attack
DTM,Ex,1646186958.922131,0.4,No Attack
DER,Ex,1646187258.922133,0.27,No Attack
DCM,Ex,1646187258.922136,0.26,No Attack
DERAS,Ex,1646187258.922138,0.2,No Attack
DTM,Ex,1646187258.922140,0.22,No Attack
DER,Ex,1646187558.922142,0.35,No Attack
DCM,Ex,1646187558.922144,0.34,No Attack
DERAS,Ex,1646187558.922146,0.31,No Attack
DTM,Ex,1646187558.922148,0.39,No Attack
DER,Ex,1646187858.922150,0.21,No Attack
DCM,Ex,1646187858.922152,0.2,No Attack
DERAS,Ex,1646187858.922154,0.37,No Attack
DTM,Ex,1646187858.922156,0.19,No Attack
DER,Ex,1646188158.922158,0.38,No Attack
DCM,Ex,1646188158.922160,0.31,No Attack
DERAS,Ex,1646188158.922162,0.31,No Attack
DTM,Ex,1646188158.922164,0.23,No Attack
DER,Ex,1646188458.922166,0.41,No Attack
DCM,Ex,1646188458.922168,0.36,No Attack
DERAS,Ex,1646188458.922170,0.4,No Attack
DTM,Ex,1646188458.922172,0.22,No Attack
DER,Ex,1646188758.922174,0.27,No Attack
DCM,Ex,1646188758.922177,0.18,No Attack
DERAS,Ex,1646188758.922179,0.24,No Attack
DTM,Ex,1646188758.922181,0.16,No Attack
DER,Ex,1646189058.922183,0.34,No Attack
DCM,Ex,1646189058.922185,0.28,No Attack
DERAS,Ex,1646189058.922187,0.26,No Attack
DTM,Ex,1646189058.922189,0.2,No Attack
DER,Ex,1646189358.922191,0.4,No Attack
DCM,Ex,1646189358.922193,0.33,No Attack
DERAS,Ex,1646189358.922195,0.37,No Attack
DTM,Ex,1646189358.922197,0.35,No Attack
DER,Ex,1646189658.922199,0.31,No Attack
DCM,Ex,1646189658.922201,0.4,No Attack
DERAS,Ex,1646189658.922203,0.24,No Attack
DTM,Ex,1646189658.922205,0.22,No Attack
DER,Ex,1646189958.922207,0.29,No Attack
DCM,Ex,1646189958.922209,0.44,No Attack
DERAS,Ex,1646189958.922212,0.16,No Attack
DTM,Ex,1646189958.922214,0.22,No Attack
DER,Ex,1646190258.922216,0.29,No Attack
DCM,Ex,1646190258.922218,0.29,No Attack
DERAS,Ex,1646190258.922220,0.25,No Attack
DTM,Ex,1646190258.922222,0.36,No Attack
DER,Ex,1646190558.922224,0.41,No Attack
DCM,Ex,1646190558.922226,0.21,No Attack
DERAS,Ex,1646190558.922228,0.41,No Attack
DTM,Ex,1646190558.922231,0.29,No Attack
DER,Ex,1646190858.922233,0.45,No Attack
DCM,Ex,1646190858.922235,0.28,No Attack
DERAS,Ex,1646190858.922237,0.34,No Attack
DTM,Ex,1646190858.922239,0.45,No Attack
DER,Ex,1646191158.922241,0.26,No Attack
DCM,Ex,1646191158.922243,0.16,No Attack
DERAS,Ex,1646191158.922248,0.25,No Attack
DTM,Ex,1646191158.922250,0.18,No Attack
DER,Ex,1646191458.922252,0.16,No Attack
DCM,Ex,1646191458.922254,0.2,No Attack
DERAS,Ex,1646191458.922256,0.21,No Attack
DTM,Ex,1646191458.922258,0.31,No Attack
DER,Ex,1646191758.922260,0.4,No Attack
DCM,Ex,1646191758.922262,0.3,No Attack
DERAS,Ex,1646191758.922264,0.3,No Attack
DTM,Ex,1646191758.922266,0.34,No Attack
DER,Ex,1646192058.922268,0.21,No Attack
DCM,Ex,1646192058.922271,0.3,No Attack
DERAS,Ex,1646192058.922273,0.33,No Attack
DTM,Ex,1646192058.922275,0.31,No Attack
DER,Ex,1646192358.922277,0.39,No Attack
DCM,Ex,1646192358.922279,0.42,No Attack
DERAS,Ex,1646192358.922281,0.19,No Attack
DTM,Ex,1646192358.922283,0.17,No Attack
DER,Ex,1646192658.922285,0.3,No Attack
DCM,Ex,1646192658.922287,0.44,No Attack
DERAS,Ex,1646192658.922289,0.21,No Attack
DTM,Ex,1646192658.922291,0.25,No Attack
DER,Ex,1646192958.922293,0.45,No Attack
DCM,Ex,1646192958.922295,0.17,No Attack
DERAS,Ex,1646192958.922297,0.22,No Attack
DTM,Ex,1646192958.922299,0.26,No Attack
DER,Ex,1646193258.922301,0.4,No Attack
DCM,Ex,1646193258.922303,0.31,No Attack
DERAS,Ex,1646193258.922305,0.18,No Attack
DTM,Ex,1646193258.922308,0.34,No Attack
DER,Ex,1646193558.922310,0.31,No Attack
DCM,Ex,1646193558.922312,0.2,No Attack
DERAS,Ex,1646193558.922314,0.18,No Attack
DTM,Ex,1646193558.922316,0.2,No Attack
DER,Ex,1646193858.922318,0.44,No Attack
DCM,Ex,1646193858.922320,0.26,No Attack
DERAS,Ex,1646193858.922322,0.31,No Attack
DTM,Ex,1646193858.922324,0.26,No Attack
DER,Ex,1646194158.922326,0.21,No Attack
DCM,Ex,1646194158.922328,0.33,No Attack
DERAS,Ex,1646194158.922330,0.21,No Attack
DTM,Ex,1646194158.922332,0.39,No Attack
DER,Ex,1646194458.922334,0.38,No Attack
DCM,Ex,1646194458.922336,0.45,No Attack
DERAS,Ex,1646194458.922340,0.17,No Attack
DTM,Ex,1646194458.922342,0.35,No Attack
DER,Ex,1646194758.922344,0.45,No Attack
DCM,Ex,1646194758.922346,0.44,No Attack
DERAS,Ex,1646194758.922348,0.4,No Attack
DTM,Ex,1646194758.922350,0.31,No Attack
DER,Ex,1646195058.922352,0.32,No Attack
DCM,Ex,1646195058.922354,0.36,No Attack
DERAS,Ex,1646195058.922356,0.25,No Attack
DTM,Ex,1646195058.922359,0.22,No Attack
DER,Ex,1646195358.922361,0.37,No Attack
DCM,Ex,1646195358.922363,0.21,No Attack
DERAS,Ex,1646195358.922365,0.15,No Attack
DTM,Ex,1646195358.922367,0.28,No Attack
DER,Ex,1646195658.922369,0.32,No Attack
DCM,Ex,1646195658.922371,0.25,No Attack
DERAS,Ex,1646195658.922373,0.38,No Attack
