DrLipor_10min_a_ideal.csv,01/03/2022
Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,relative factor of certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,Max CommFreq,Min TSLC,DTM response
DER,Ex,1646184017.613486,0.23,0.1,0,0.0,0.1,1.0,1,0,1,1646184017.613486,1646184017.613486,0.001,0.23,0.115,0,0,0,0,0.24919871588754225,0.0,100000.0,Do nothing
DCM,Ex,1646184017.613493,0.44,0.1,0,0.0,0.1,1.0,1,0,1,1646184017.613493,1646184017.613493,0.001,0.44,0.14666666666666667,0,0,0,0,0.15318833724101408,0.0,100000.0,Do nothing
DERAS,Ex,1646184017.613496,0.38,0.1,0,0.0,0.1,1.0,1,0,1,1646184017.613496,1646184017.613496,0.001,0.38,0.095,0,0,0,0,0.1283225103661344,0.0,100000.0,Do nothing
DTM,Ex,1646184017.613498,0.43,0.1,0,0.0,0.1,1.0,1,0,1,1646184017.613498,1646184017.613498,0.001,0.43,0.086,0,0,0,0,0.15724185193516388,0.0,100000.0,Do nothing
DER,Ex,1646184617.613501,0.28,0.2,0,0.0,0.3172085986058171,1.0,2,0,2,1646184617.613501,1646184017.613486,0.0033333332498868325,0.28,0.14250000000000002,600.0000150203705,0,0,0,0.13878040207464454,0.001,600.0000150203705,Do nothing
DCM,Ex,1646184617.613503,0.42,0.2,0,0.0,0.3172086012528119,1.0,2,0,2,1646184617.613503,1646184017.613493,0.0033333332777023324,0.42,0.18571428571428572,600.0000100135803,0,0,0,0.10871544333280173,0.001,600.0000100135803,Do nothing
DERAS,Ex,1646184617.613505,0.39,0.2,0,0.0,0.3172086018830488,1.0,2,0,2,1646184617.613505,1646184017.613496,0.0033333332843250704,0.39,0.13187500000000002,600.0000088214874,0,0,0,0.049026232045420635,0.001,600.0000088214874,Do nothing
DTM,Ex,1646184617.613507,0.17,0.2,0,0.0,0.31720860175700144,1.0,2,0,2,1646184617.613507,1646184017.613498,0.003333333283000523,0.17,0.09533333333333333,600.000009059906,0,0,0,0.10065618046929192,0.001,600.000009059906,Do nothing
DER,Ex,1646185217.613510,0.2,0.9516257958174514,0,0.0,0.10446901822086599,1.0,3,0,3,1646185217.61351,1646184017.613486,0.0024999999503294637,0.2,0.14825000000000002,600.0000088214874,0,0,0,0.12326574724733731,0.0033333332498868325,600.0000088214874,Do nothing
DCM,Ex,1646185217.613512,0.34,0.9516258037584358,0,0.0,0.10446901776423116,1.0,3,0,3,1646185217.613512,1646184017.613493,0.0024999999602635706,0.34,0.19974025974025975,600.000009059906,0,0,0,0.12136025580193743,0.0033333332777023324,600.000009059906,Do nothing
DERAS,Ux,1646185217.613514,0.2,-2.5376688150643902,0,0.034823005872979415,0.034823005872979415,0.33333333333333326,2,1,3,1646185217.613514,1646184017.613496,0.0024999999627470975,0.2,0.13755208333333335,600.000009059906,0,0,0,0.10614187903390672,0.0033333332843250704,600.0000088214874,Do nothing
DTM,Ux,1646185217.613516,0.32,-2.5376688140560115,0,0.03482300589373554,0.03482300589373554,0.33333333333333326,2,1,3,1646185217.613516,1646184017.613498,0.0024999999622503924,0.32,0.11261538461538462,600.000009059906,0,0,0,0.05825379192382478,0.003333333283000523,600.000009059906,Do nothing
DER,Ux,1646185817.613518,0.26,-0.731283127546062,0,0.06042308274752228,0.06042308274752228,0.5,3,1,4,1646185817.613518,1646184017.613486,0.002222222182780137,0.26,0.1562321428571429,600.0000081062317,0,0,0,0.09890832696420028,0.0033333332498868325,600.0000081062317,Do nothing
DCM,Ex,1646185817.613520,0.17,0.41787607105692465,0,0.0,0.12084616482276525,1.0,4,0,4,1646185817.61352,1646184017.613493,0.0022222221889613594,0.17,0.19775757575757574,600.0000078678131,0,0,0,0.12036059509224173,0.0033333332777023324,600.0000078678131,Do nothing
DERAS,Ex,1646185817.613522,0.39,-0.2437610411108559,0,0.06042308232334604,0.06042308232334604,0.5,3,1,4,1646185817.613522,1646184017.613496,0.002222222190138735,0.39,0.15333007812500002,600.0000081062317,0,0,0,0.06048437298178763,0.0033333332843250704,600.0000081062317,Do nothing
DTM,Ex,1646185817.613525,0.24,-0.24376104125614878,0,0.06042308231534272,0.06042308231534272,0.5,3,1,4,1646185817.613525,1646184017.613498,0.0022222221889613594,0.24,0.12010859728506788,600.0000088214874,0,0,0,0.07480653781286441,0.003333333283000523,600.0000088214874,Do nothing
DER,Ex,1646186417.613527,0.41,-0.3625384964851337,0,0.0829497068756032,0.0829497068756032,0.6000000000000001,4,1,5,1646186417.613527,1646184017.613486,0.0020833332977361154,0.41,0.17033035714285719,600.000009059906,0,0,0,0.06244316743778994,0.0033333332498868325,600.0000081062317,Do nothing
DCM,Ex,1646186417.613529,0.22,0.6042308241138262,0,0.0,0.1382495105391704,1.0,5,0,5,1646186417.613529,1646184017.613493,0.0020833333020822873,0.22,0.19892822966507176,600.000009059906,0,0,0,0.10382541337685276,0.0033333332777023324,600.0000078678131,Do nothing
DERAS,Ex,1646186417.613531,0.2,-0.36253849394007626,0,0.0829497062246185,0.0829497062246185,0.6000000000000001,4,1,5,1646186417.613531,1646184017.613496,0.00208333330291013,0.2,0.15566357421875004,600.000009059906,0,0,0,0.08775851730856311,0.0033333332843250704,600.0000081062317,Do nothing
DTM,Ex,1646186417.613533,0.41,-0.36253849389205633,0,0.08294970638942475,0.08294970638942475,0.6000000000000001,4,1,5,1646186417.613533,1646184017.613498,0.00208333330291013,0.41,0.13391294979530274,600.0000081062317,0,0,0,0.0274385446791376,0.003333333283000523,600.0000081062317,Do nothing
DER,Ex,1646187017.613535,0.18,-0.414748534378016,0,0.10367271263362123,0.10367271263362123,0.6666666666666667,5,1,6,1646187017.613535,1646184017.613486,0.0019999999674161282,0.18,0.1707698863636364,600.0000078678131,0,0,0,0.08971631232718011,0.0033333332498868325,600.0000078678131,Do nothing
DCM,Ex,1646187017.613537,0.22,0.8294970632350224,0,0.0,0.1555090678381443,1.0,6,0,6,1646187017.613537,1646184017.613493,0.0019999999705950424,0.22,0.19984439359267733,600.0000081062317,0,0,0,0.09419723121751054,0.0033333332777023324,600.0000078678131,Do nothing
DERAS,Ex,1646187017.613540,0.4,-0.4147485311230925,0,0.10367271161196454,0.10367271161196454,0.6666666666666667,5,1,6,1646187017.61354,1646184017.613496,0.001999999970753988,0.4,0.16584425862630212,600.0000088214874,0,0,0,0.05441774339544287,0.0033333332843250704,600.0000081062317,Do nothing
DTM,Ex,1646187017.613542,0.44,-0.4147485319471238,0,0.10367271160372536,0.10367271160372536,0.6666666666666667,5,1,6,1646187017.613542,1646184017.613498,0.0019999999705950424,0.44,0.1461564318034906,600.000009059906,0,0,0,0.021869051299176,0.003333333283000523,600.0000081062317,Do nothing
DER,Ex,1646187617.613544,0.3,-0.4146908505344849,0,0.12304663013952027,0.12304663013952027,0.7142857142857142,6,1,7,1646187617.613544,1646184017.613486,0.0019444444131520063,0.3,0.1757402753496504,600.000009059906,0,0,0,0.07401925188996207,0.0033333332498868325,600.0000078678131,Do nothing
DCM,Ex,1646187617.613546,0.22,1.08856347486701,0,0.0,0.17226528106586922,1.0,7,0,7,1646187617.613546,1646184017.613493,0.001944444415856291,0.22,0.20059089753368925,600.0000088214874,0,0,0,0.08685900691174933,0.0033333332777023324,600.0000078678131,Do nothing
DERAS,Ex,1646187617.613548,0.41,-0.41469084644785814,0,0.12304662931646564,0.12304662931646564,0.7142857142857142,6,1,7,1646187617.613548,1646184017.613496,0.0019444444163713931,0.41,0.17456410653250562,600.0000081062317,0,0,0,0.052514637313761464,0.0033333332843250704,600.0000081062317,Do nothing
DTM,Ex,1646187617.613550,0.2,-0.41469084641490145,0,0.12304662936535994,0.12304662936535994,0.7142857142857142,6,1,7,1646187617.61355,1646184017.613498,0.0019444444163713931,0.2,0.14801310656888747,600.0000078678131,0,0,0,0.07001132381101584,0.003333333283000523,600.0000078678131,Do nothing
DER,Ex,1646188217.613552,0.26,-0.3691398904185608,0,0.14129141010110222,0.14129141010110222,0.75,7,1,8,1646188217.613552,1646184017.613486,0.001904761874810909,0.26,0.1785489328379954,600.0000081062317,0,0,0,0.07349440617440038,0.0033333332498868325,600.0000078678131,Do nothing
DCM,Ex,1646188217.613554,0.42,1.3781222485269538,0,0.0,0.18838854545400974,1.0,8,0,8,1646188217.613554,1646184017.613493,0.0019047618770815622,0.42,0.20766861051647348,600.0000081062317,0,0,0,0.06205287731191385,0.0033333332777023324,600.0000078678131,Do nothing
DERAS,Ex,1646188217.613556,0.16,-0.3691398879493969,0,0.14129140890603364,0.14129140890603364,0.75,7,1,8,1646188217.613556,1646184017.613496,0.001904761877622194,0.16,0.17410897820336482,600.0000078678131,0,0,0,0.07544261550227896,0.0033333332843250704,600.0000078678131,Do nothing
DTM,Ex,1646188217.613559,0.27,-0.36913988809607984,0,0.14129140864135398,0.14129140864135398,0.75,7,1,8,1646188217.613559,1646184017.613498,0.0019047618770815622,0.27,0.151709679097103,600.000009059906,0,0,0,0.06092341962217367,0.003333333283000523,600.0000078678131,Do nothing
DER,Ex,1646188817.613561,0.31,-0.28258282020220443,0,0.15853768490966916,0.15853768490966916,0.7777777777777777,8,1,9,1646188817.613561,1646184017.613486,0.0018749999707564715,0.31,0.1824151406957014,600.0000088214874,0,0,0,0.06552013566869995,0.0033333332498868325,600.0000078678131,Do nothing
DCM,Ex,1646188817.613563,0.39,1.6954969090860876,0,0.0,0.2038341647330016,1.0,9,0,9,1646188817.613563,1646184017.613493,0.0018749999726191168,0.39,0.21287807878743137,600.000009059906,0,0,0,0.06457299492203879,0.0033333332777023324,600.0000078678131,Do nothing
DERAS,Ex,1646188817.613565,0.38,-0.2825828178120673,0,0.15853768340561067,0.15853768340561067,0.7777777777777777,8,1,9,1646188817.613565,1646184017.613496,0.001874999973084778,0.38,0.17982817325327136,600.000009059906,0,0,0,0.053875407846132754,0.0033333332843250704,600.0000078678131,Do nothing
DTM,Ex,1646188817.613567,0.41,-0.28258281728270795,0,0.15853768371272203,0.15853768371272203,0.7777777777777777,8,1,9,1646188817.613567,1646184017.613498,0.0018749999729916458,0.41,0.1586904985809651,600.0000081062317,0,0,0,0.038293989596126704,0.003333333283000523,600.0000078678131,Do nothing
DER,Ex,1646189417.613569,0.19,-0.15853768490966916,0,0.17487526397135503,0.17487526397135503,0.8,9,1,10,1646189417.613569,1646184017.613486,0.0018518518233986063,0.19,0.18261474225634083,600.0000081062317,0,0,0,0.06997559786802209,0.0033333332498868325,600.0000078678131,Do nothing
DCM,Ex,1646189417.613571,0.21,2.0383416473300158,0,0.0,0.21859407842964096,1.0,10,0,10,1646189417.613571,1646184017.613493,0.0018518518251156124,0.21,0.21280428189544595,600.0000078678131,0,0,0,0.07494009510072319,0.0033333332777023324,600.0000078678131,Do nothing
DERAS,Ex,1646189417.613573,0.36,-0.15853768340561067,0,0.17487526235766174,0.17487526235766174,0.8,9,1,10,1646189417.613573,1646184017.613496,0.0018518518254426611,0.36,0.18433246892193958,600.0000081062317,0,0,0,0.0553475293713805,0.0033333332843250704,600.0000078678131,Do nothing
DTM,Ex,1646189417.613575,0.44,-0.15853768371272203,0,0.17487526249664007,0.17487526249664007,0.8,9,1,10,1646189417.613575,1646184017.613498,0.0018518518254426611,0.44,0.16555170593264887,600.0000078678131,0,0,0,0.03231699448752681,0.003333333283000523,600.0000078678131,Do nothing
DER,Ex,1646190017.613577,0.15,0.0,0,0.19037258721239794,0.19037258721239794,0.8181818181818181,10,1,11,1646190017.613577,1646184017.613486,0.0018333333055774374,0.15,0.181838200774047,600.0000078678131,0,0,0,0.06748629709375663,0.0033333332498868325,600.0000078678131,Do nothing
DCM,Ex,1646190017.613580,0.39,2.4045348627260505,0,0.0,0.23267760433696122,1.0,11,0,11,1646190017.61358,1646184017.613493,0.0018333333067430393,0.39,0.21692511254904023,600.000009059906,0,0,0,0.059325330350105475,0.0033333332777023324,600.0000078678131,Do nothing
DERAS,Ex,1646190017.613582,0.31,0.0,0,0.19037258510183921,0.19037258510183921,0.8181818181818181,10,1,11,1646190017.613582,1646184017.613496,0.00183333330710729,0.31,0.1871885491737137,600.0000088214874,0,0,0,0.05871325957359345,0.0033333332843250704,600.0000078678131,Do nothing
