DrLipor_20min_b_ideal.csv,01/03/2022
Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,relative factor of certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,Max CommFreq,Min TSLC,DTM response
DER,Ex,1646184080.212768,0.19,0.1,0,0.0,0.1,1.0,1,0,1,1646184080.212768,1646184080.212768,0.001,0.19,0.095,0,0,0,0,0.24269322199023194,0.0,100000.0,Do nothing
DCM,Ex,1646184080.212790,0.16,0.1,0,0.0,0.1,1.0,1,0,1,1646184080.21279,1646184080.21279,0.001,0.16,0.05333333333333334,0,0,0,0,0.11775681155103797,0.0,100000.0,Do nothing
DERAS,Ex,1646184080.212793,0.26,0.1,0,0.0,0.1,1.0,1,0,1,1646184080.212793,1646184080.212793,0.001,0.26,0.065,0,0,0,0,0.02943920288775952,0.0,100000.0,Do nothing
DTM,Ex,1646184080.212796,0.36,0.1,0,0.0,0.1,1.0,1,0,1,1646184080.212796,1646184080.212796,0.001,0.36,0.072,0,0,0,0,0.12,0.0,100000.0,Do nothing
DER,Ex,1646185280.212798,0.17,0.2,0,0.0,0.15860429930290856,1.0,2,0,2,1646185280.212798,1646184080.212768,0.0016666666249434163,0.17,0.1075,1200.000030040741,0,0,0,0.13765899897936204,0.001,1200.000030040741,Do nothing
DCM,Ex,1646185280.212800,0.2,0.2,0,0.0,0.15860430194990338,1.0,2,0,2,1646185280.2128,1646184080.21279,0.0016666666527589164,0.2,0.07428571428571429,1200.0000100135803,0,0,0,0.08655670680001343,0.001,1200.0000100135803,Do nothing
DERAS,Ex,1646185280.212802,0.27,0.2,0,0.0,0.1586043021074626,1.0,2,0,2,1646185280.212802,1646184080.212793,0.0016666666544146009,0.27,0.09062500000000001,1200.0000088214874,0,0,0,0.07098792653885387,0.001,1200.0000088214874,Do nothing
DTM,Ex,1646185280.212805,0.23,0.2,0,0.0,0.15860430207595075,1.0,2,0,2,1646185280.212805,1646184080.212796,0.001666666654083464,0.23,0.08955555555555555,1200.000009059906,0,0,0,0.08155945343394867,0.001,1200.000009059906,Do nothing
DER,Ex,1646186480.212807,0.26,0.4758128979087257,0,0.0,0.10446901860485437,1.0,3,0,3,1646186480.212807,1646184080.212768,0.0012499999797592563,0.26,0.12275,1200.0000088214874,0,0,0,0.09609023536933049,0.0016666666249434163,1200.0000088214874,Do nothing
DCM,Ex,1646186480.212809,0.4,0.47581290584971014,0,0.0,0.10446901772271891,1.0,3,0,3,1646186480.212809,1646184080.21279,0.0012499999900658927,0.4,0.10389610389610389,1200.000009059906,0,0,0,0.05137081894384245,0.0016666666527589164,1200.000009059906,Do nothing
DERAS,Ex,1646186480.212811,0.36,0.4758129063223878,0,0.0,0.10446901765007244,1.0,3,0,3,1646186480.212811,1646184080.212793,0.0012499999906867743,0.36,0.11307291666666668,1200.000009059906,0,0,0,0.03825502541754444,0.0016666666544146009,1200.0000088214874,Do nothing
DTM,Ex,1646186480.212813,0.44,0.4758129062278522,0,0.0,0.10446901773309694,1.0,3,0,3,1646186480.212813,1646184080.212796,0.0012499999911834796,0.44,0.11651282051282051,1200.000007867813,0,0,0,0.056037736573026575,0.001666666654083464,1200.000007867813,Do nothing
DER,Ex,1646187680.212815,0.19,0.4178760744194175,0,0.0,0.12084616606328064,1.0,4,0,4,1646187680.212815,1646184080.212768,0.001111111096614673,0.19,0.12755357142857143,1200.0000081062317,0,0,0,0.09396237848963047,0.0016666666249434163,1200.0000081062317,Do nothing
DCM,Ex,1646187680.212818,0.22,0.41787607089087564,0,0.0,0.12084616468670872,1.0,4,0,4,1646187680.212818,1646184080.21279,0.0011111111025015514,0.22,0.11163636363636362,1200.0000088214874,0,0,0,0.07841897843065546,0.0016666666527589164,1200.0000088214874,Do nothing
DERAS,Ex,1646187680.212820,0.16,0.41787607060028975,0,0.0,0.12084616457466214,1.0,4,0,4,1646187680.21282,1646184080.212793,0.0011111111027958952,0.16,0.116005859375,1200.000009059906,0,0,0,0.08504803585490836,0.0016666666544146009,1200.0000088214874,Do nothing
DTM,Ex,1646187680.212822,0.16,0.41787607093238777,0,0.0,0.12084616453464554,1.0,4,0,4,1646187680.212822,1646184080.212796,0.0011111111030902392,0.16,0.1190708898944193,1200.000009059906,0,0,0,0.08370817656316144,0.001666666654083464,1200.000007867813,Do nothing
DER,Ex,1646188880.212824,0.38,0.6042308303164032,0,0.0,0.1382495123177046,1.0,5,0,5,1646188880.212824,1646184080.212768,0.0010416666545077333,0.38,0.141578373015873,1200.000009059906,0,0,0,0.051819102858904974,0.0016666666249434163,1200.0000081062317,Do nothing
DCM,Ex,1646188880.212826,0.44,0.6042308234335436,0,0.0,0.1382495106971097,1.0,5,0,5,1646188880.212826,1646184080.21279,0.0010416666588539051,0.44,0.12891866028708132,1200.0000081062317,0,0,0,0.029402701796602433,0.0016666666527589164,1200.0000081062317,Do nothing
DERAS,Ex,1646188880.212828,0.44,0.6042308228733108,0,0.0,0.13824951059410578,1.0,5,0,5,1646188880.212828,1646184080.212793,0.0010416666591126058,0.44,0.13220556640625,1200.000007867813,0,0,0,0.023341690134933746,0.0016666666544146009,1200.000007867813,Do nothing
