,Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,relative factor of certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,Max CommFreq,Min TSLC,DTM response
6260,DER_5,Ex,1646183941.62733,0.22,0.1,0,0.0,0.1,1.0,1,0,1,1646183941.62733,1646183941.62733,0.001,0.22,0.11,0.0,0,0,0,0.2481934729198171,0.0,100000.0,Do nothing
6261,DCM_5,Ex,1646183941.627337,0.24,0.1,0,0.0,0.1,1.0,1,0,1,1646183941.627337,1646183941.627337,0.001,0.24,0.08,0.0,0,0,0,0.1058300524425836,0.0,100000.0,Do nothing
6262,DERAS_5,Ex,1646183941.62734,0.41,0.1,0,0.0,0.1,1.0,1,0,1,1646183941.62734,1646183941.62734,0.001,0.41,0.1025,0.0,0,0,0,0.1478738200854588,0.0,100000.0,Do nothing
6263,DTM_5,Ex,1646183941.627342,0.45,0.1,0,0.0,0.1,1.0,1,0,1,1646183941.627342,1646183941.627342,0.001,0.45,0.09,0.0,0,0,0,0.1677050983124842,0.0,100000.0,Do nothing
3372,DER_3,Ex,1646183947.860553,0.22,0.1,0,0.0,0.1,1.0,1,0,1,1646183947.860553,1646183947.860553,0.001,0.22,0.11,0.0,0,0,0,0.2481934729198171,0.0,100000.0,Do nothing
3373,DCM_3,Ex,1646183947.860561,0.17,0.1,0,0.0,0.1,1.0,1,0,1,1646183947.860561,1646183947.860561,0.001,0.17,0.0566666666666666,0.0,0,0,0,0.1178275576142242,0.0,100000.0,Do nothing
3374,DERAS_3,Ex,1646183947.860563,0.42,0.1,0,0.0,0.1,1.0,1,0,1,1646183947.860563,1646183947.860563,0.001,0.42,0.105,0.0,0,0,0,0.1542724862054151,0.0,100000.0,Do nothing
3375,DTM_3,Ex,1646183947.860566,0.28,0.1,0,0.0,0.1,1.0,1,0,1,1646183947.860566,1646183947.860566,0.001,0.28,0.056,0.0,0,0,0,0.0748331477354788,0.0,100000.0,Do nothing
1448,DER_2,Ex,1646183953.38646,0.22,0.1,0,0.0,0.1,1.0,1,0,1,1646183953.38646,1646183953.38646,0.001,0.22,0.11,0.0,0,0,0,0.2481934729198171,0.0,100000.0,Do nothing
1449,DCM_2,Ex,1646183953.386467,0.42,0.1,0,0.0,0.1,1.0,1,0,1,1646183953.386467,1646183953.386467,0.001,0.42,0.1399999999999999,0.0,0,0,0,0.1349073756323204,0.0,100000.0,Do nothing
1450,DERAS_2,Ex,1646183953.38647,0.32,0.1,0,0.0,0.1,1.0,1,0,1,1646183953.38647,1646183953.38647,0.001,0.32,0.08,0.0,0,0,0,0.0864098759787714,0.0,100000.0,Do nothing
1451,DTM_2,Ex,1646183953.386472,0.39,0.1,0,0.0,0.1,1.0,1,0,1,1646183953.386472,1646183953.386472,0.001,0.39,0.078,0.0,0,0,0,0.136106575888162,0.0,100000.0,Do nothing
8668,DER_7,Ex,1646183958.922035,0.3,0.1,0,0.0,0.1,1.0,1,0,1,1646183958.922035,1646183958.922035,0.001,0.3,0.15,0.0,0,0,0,0.2449489742783178,0.0,100000.0,Do nothing
8669,DCM_7,Ex,1646183958.922042,0.38,0.1,0,0.0,0.1,1.0,1,0,1,1646183958.922042,1646183958.922042,0.001,0.38,0.1266666666666666,0.0,0,0,0,0.0941629792788368,0.0,100000.0,Do nothing
8670,DERAS_7,Ex,1646183958.922045,0.38,0.1,0,0.0,0.1,1.0,1,0,1,1646183958.922045,1646183958.922045,0.001,0.38,0.095,0.0,0,0,0,0.1283225103661344,0.0,100000.0,Do nothing
8671,DTM_7,Ex,1646183958.922047,0.33,0.1,0,0.0,0.1,1.0,1,0,1,1646183958.922047,1646183958.922047,0.001,0.33,0.066,0.0,0,0,0,0.1035615758860399,0.0,100000.0,Do nothing
484,DER_1,Ex,1646184017.613486,0.23,0.1,0,0.0,0.1,1.0,1,0,1,1646184017.613486,1646184017.613486,0.001,0.23,0.115,0.0,0,0,0,0.2491987158875422,0.0,100000.0,Do nothing
485,DCM_1,Ex,1646184017.613493,0.44,0.1,0,0.0,0.1,1.0,1,0,1,1646184017.613493,1646184017.613493,0.001,0.44,0.1466666666666666,0.0,0,0,0,0.153188337241014,0.0,100000.0,Do nothing
486,DERAS_1,Ex,1646184017.613496,0.38,0.1,0,0.0,0.1,1.0,1,0,1,1646184017.613496,1646184017.613496,0.001,0.38,0.095,0.0,0,0,0,0.1283225103661344,0.0,100000.0,Do nothing
487,DTM_1,Ex,1646184017.613498,0.43,0.1,0,0.0,0.1,1.0,1,0,1,1646184017.613498,1646184017.613498,0.001,0.43,0.086,0.0,0,0,0,0.1572418519351638,0.0,100000.0,Do nothing
11076,DER_9,Ex,1646184023.418364,0.16,0.1,0,0.0,0.1,1.0,1,0,1,1646184023.418364,1646184023.418364,0.001,0.16,0.08,0.0,0,0,0,0.233238075793812,0.0,100000.0,Do nothing
11077,DCM_9,Ex,1646184023.418372,0.32,0.1,0,0.0,0.1,1.0,1,0,1,1646184023.418372,1646184023.418372,0.001,0.32,0.1066666666666666,0.0,0,0,0,0.04618802153517,0.0,100000.0,Do nothing
11078,DERAS_9,Ex,1646184023.418375,0.25,0.1,0,0.0,0.1,1.0,1,0,1,1646184023.418375,1646184023.418375,0.001,0.25,0.0625,0.0,0,0,0,0.0,0.0,100000.0,Do nothing
11079,DTM_9,Ex,1646184023.418378,0.39,0.1,0,0.0,0.1,1.0,1,0,1,1646184023.418378,1646184023.418378,0.001,0.39,0.078,0.0,0,0,0,0.136106575888162,0.0,100000.0,Do nothing
5296,DER_4,Ex,1646184033.896749,0.31,0.1,0,0.0,0.1,1.0,1,0,1,1646184033.896749,1646184033.896749,0.001,0.31,0.155,0.0,0,0,0,0.2426932219902319,0.0,100000.0,Do nothing
5297,DCM_4,Ex,1646184033.896756,0.28,0.1,0,0.0,0.1,1.0,1,0,1,1646184033.896756,1646184033.896756,0.001,0.28,0.0933333333333333,0.0,0,0,0,0.0864098759787714,0.0,100000.0,Do nothing
5298,DERAS_4,Ex,1646184033.896759,0.26,0.1,0,0.0,0.1,1.0,1,0,1,1646184033.896759,1646184033.896759,0.001,0.26,0.065,0.0,0,0,0,0.0294392028877595,0.0,100000.0,Do nothing
5299,DTM_4,Ex,1646184033.896762,0.41,0.1,0,0.0,0.1,1.0,1,0,1,1646184033.896762,1646184033.896762,0.001,0.41,0.0819999999999999,0.0,0,0,0,0.146714007511212,0.0,100000.0,Do nothing
0,DER_0,Ex,1646184057.249654,0.31,0.1,0,0.0,0.1,1.0,1,0,1,1646184057.249654,1646184057.249654,0.001,0.31,0.155,0.0,0,0,0,0.2426932219902319,0.0,100000.0,Do nothing
1,DCM_0,Ex,1646184057.249662,0.42,0.1,0,0.0,0.1,1.0,1,0,1,1646184057.249662,1646184057.249662,0.001,0.42,0.1399999999999999,0.0,0,0,0,0.1349073756323204,0.0,100000.0,Do nothing
2,DERAS_0,Ex,1646184057.249665,0.15,0.1,0,0.0,0.1,1.0,1,0,1,1646184057.249665,1646184057.249665,0.001,0.15,0.0375,0.0,0,0,0,0.0707106781186547,0.0,100000.0,Do nothing
3,DTM_0,Ex,1646184057.249667,0.15,0.1,0,0.0,0.1,1.0,1,0,1,1646184057.249667,1646184057.249667,0.001,0.15,0.03,0.0,0,0,0,0.0433012701892219,0.0,100000.0,Do nothing
8184,DER_6,Ex,1646184080.212768,0.19,0.1,0,0.0,0.1,1.0,1,0,1,1646184080.212768,1646184080.212768,0.001,0.19,0.095,0.0,0,0,0,0.2426932219902319,0.0,100000.0,Do nothing
8185,DCM_6,Ex,1646184080.21279,0.16,0.1,0,0.0,0.1,1.0,1,0,1,1646184080.21279,1646184080.21279,0.001,0.16,0.0533333333333333,0.0,0,0,0,0.1177568115510379,0.0,100000.0,Do nothing
8186,DERAS_6,Ex,1646184080.212793,0.26,0.1,0,0.0,0.1,1.0,1,0,1,1646184080.212793,1646184080.212793,0.001,0.26,0.065,0.0,0,0,0,0.0294392028877595,0.0,100000.0,Do nothing
8187,DTM_6,Ex,1646184080.212796,0.36,0.1,0,0.0,0.1,1.0,1,0,1,1646184080.212796,1646184080.212796,0.001,0.36,0.072,0.0,0,0,0,0.12,0.0,100000.0,Do nothing
10592,DER_8,Ex,1646184085.312572,0.24,0.1,0,0.0,0.1,1.0,1,0,1,1646184085.312572,1646184085.312572,0.001,0.24,0.12,0.0,0,0,0,0.2497999199359359,0.0,100000.0,Do nothing
10593,DCM_8,Ex,1646184085.31258,0.19,0.1,0,0.0,0.1,1.0,1,0,1,1646184085.31258,1646184085.31258,0.001,0.19,0.0633333333333333,0.0,0,0,0,0.1166904737614286,0.0,100000.0,Do nothing
10594,DERAS_8,Ex,1646184085.312583,0.31,0.1,0,0.0,0.1,1.0,1,0,1,1646184085.312583,1646184085.312583,0.001,0.31,0.0775,0.0,0,0,0,0.0787400787401181,0.0,100000.0,Do nothing
10595,DTM_8,Ex,1646184085.312585,0.38,0.1,0,0.0,0.1,1.0,1,0,1,1646184085.312585,1646184085.312585,0.001,0.38,0.076,0.0,0,0,0,0.1307669683062202,0.0,100000.0,Do nothing
6264,DER_5,Ex,1646184241.627344,0.24,0.2,0,0.0,0.6344171838506135,1.0,2,0,2,1646184241.627344,1646183941.62733,0.0066666663593716,0.24,0.1316666666666666,300.0000138282776,0,0,0,0.1417509553171806,0.001,300.0000138282776,Do nothing
6265,DCM_5,Ex,1646184241.627346,0.19,0.2,0,0.0,0.6344171939344028,1.0,2,0,2,1646184241.627346,1646183941.627337,0.0066666664653354,0.19,0.0957142857142857,300.000009059906,0,0,0,0.111664889822395,0.001,300.000009059906,Do nothing
6266,DERAS_5,Ex,1646184241.627349,0.35,0.2,0,0.0,0.6344171944385922,1.0,2,0,2,1646184241.627349,1646183941.62734,0.0066666664706336,0.35,0.1334375,300.0000088214874,0,0,0,0.0817771361689806,0.001,300.0000088214874,Do nothing
6267,DTM_5,Ex,1646184241.627351,0.38,0.2,0,0.0,0.6344171939344028,1.0,2,0,2,1646184241.627351,1646183941.627342,0.0066666664653354,0.38,0.1222222222222222,300.000009059906,0,0,0,0.0387656778320433,0.001,300.000009059906,Do nothing
3376,DER_3,Ex,1646184247.860568,0.26,0.2,0,0.0,0.6344171813296662,1.0,2,0,2,1646184247.860568,1646183947.860553,0.0066666663328806,0.26,0.135,300.0000150203705,0,0,0,0.1385640646055101,0.001,300.0000150203705,Do nothing
3377,DCM_3,Ex,1646184247.86057,0.4,0.2,0,0.0,0.6344171939344028,1.0,2,0,2,1646184247.86057,1646183947.860561,0.0066666664653354,0.4,0.1057142857142857,300.000009059906,0,0,0,0.07259367238156,0.001,300.000009059906,Do nothing
3378,DERAS_3,Ex,1646184247.860572,0.17,0.2,0,0.0,0.6344171939344028,1.0,2,0,2,1646184247.860572,1646183947.860563,0.0066666664653354,0.17,0.113125,300.000009059906,0,0,0,0.1207565437446056,0.001,300.000009059906,Do nothing
3379,DTM_3,Ex,1646184247.860574,0.31,0.2,0,0.0,0.6344171959511605,1.0,2,0,2,1646184247.860574,1646183947.860566,0.0066666664865281,0.31,0.0842222222222222,300.0000081062317,0,0,0,0.026177810790396,0.001,300.0000081062317,Do nothing
1452,DER_2,Ex,1646184253.386474,0.21,0.2,0,0.0,0.6344171838506135,1.0,2,0,2,1646184253.386474,1646183953.38646,0.0066666663593716,0.21,0.1266666666666666,300.0000138282776,0,0,0,0.1453730832490435,0.001,300.0000138282776,Do nothing
1453,DCM_2,Ex,1646184253.386476,0.26,0.2,0,0.0,0.6344171939344028,1.0,2,0,2,1646184253.386476,1646183953.386467,0.0066666664653354,0.26,0.1571428571428571,300.000009059906,0,0,0,0.1448809034706651,0.001,300.000009059906,Do nothing
1454,DERAS_2,Ex,1646184253.386478,0.17,0.2,0,0.0,0.6344171964553501,1.0,2,0,2,1646184253.386478,1646183953.38647,0.0066666664918263,0.17,0.09125,300.0000078678131,0,0,0,0.1041633332799983,0.001,300.0000078678131,Do nothing
1455,DTM_2,Ex,1646184253.38648,0.39,0.2,0,0.0,0.6344171959511605,1.0,2,0,2,1646184253.38648,1646183953.386472,0.0066666664865281,0.39,0.1126666666666666,300.0000081062317,0,0,0,0.0335658556671309,0.001,300.0000081062317,Do nothing
8672,DER_7,Ex,1646184258.922049,0.22,0.2,0,0.0,0.6344171833464239,1.0,2,0,2,1646184258.922049,1646183958.922035,0.0066666663540734,0.22,0.1616666666666666,300.00001406669617,0,0,0,0.171036058576352,0.001,300.00001406669617,Do nothing
8673,DCM_7,Ex,1646184258.922052,0.25,0.2,0,0.0,0.6344171919176449,1.0,2,0,2,1646184258.922052,1646183958.922042,0.0066666664441426,0.25,0.1442857142857143,300.0000100135803,0,0,0,0.1375090184632635,0.001,300.0000100135803,Do nothing
8674,DERAS_7,Ex,1646184258.922054,0.33,0.2,0,0.0,0.6344171939344028,1.0,2,0,2,1646184258.922054,1646183958.922045,0.0066666664653354,0.33,0.124375,300.000009059906,0,0,0,0.0817880536159512,0.001,300.000009059906,Do nothing
8675,DTM_7,Ex,1646184258.922056,0.35,0.2,0,0.0,0.6344171939344028,1.0,2,0,2,1646184258.922056,1646183958.922047,0.0066666664653354,0.35,0.0975555555555555,300.000009059906,0,0,0,0.0151840559652404,0.001,300.000009059906,Do nothing
6268,DER_5,Ex,1646184541.627353,0.32,1.903251551551841,0,0.0,0.1044690185114517,1.0,3,0,3,1646184541.627353,1646183941.62733,0.0049999998092651,0.32,0.1505,300.000009059906,0,0,0,0.1001295457191628,0.0066666663593716,300.000009059906,Do nothing
6269,DCM_5,Ex,1646184541.627355,0.23,1.9032515818032083,0,0.0,0.1044690176812066,1.0,3,0,3,1646184541.627355,1646183941.627337,0.0049999998490015,0.23,0.1079220779220779,300.000009059906,0,0,0,0.0877703615330161,0.0066666664653354,300.000009059906,Do nothing
6270,DERAS_5,Ex,1646184541.627356,0.18,1.9032515833157768,0,0.0,0.1044690179717924,1.0,3,0,3,1646184541.627356,1646183941.62734,0.0049999998668829,0.18,0.1373177083333333,300.0000071525574,0,0,0,0.1082658589404859,0.0066666664706336,300.0000071525574,Do nothing
