Actor,Message Eval Catagory,Current Time,Transit Time,Attack Status
DERAS,Err,1648428414.628497,0.2,No Attack
DERAS,N,1648429014.628506,0.17,No Attack
DCM,Dis,1648429614.628510,0.24,No Attack
DTM,Err,1648430214.628514,0.4,No Attack
DTM,Ind,1648430814.628518,0.17,No Attack
DCM,Dis,1648431414.628522,0.41,No Attack
DCM,Dis,1648432014.628526,0.41,No Attack
DERAS,Ux,1648432614.628529,0.33,No Attack
DTM,N,1648433214.628533,0.36,No Attack
DCM,Err,1648433814.628536,0.17,No Attack
DER,Ux,1648434414.628540,0.38,No Attack
DERAS,Ux,1648435014.628543,0.3,No Attack
DER,Ux,1648435614.628546,0.44,No Attack
DERAS,Ux,1648436214.628550,0.25,No Attack
DER,Ux,1648436814.628554,0.36,No Attack
DERAS,Err,1648437414.628557,0.37,No Attack
DER,Ux,1648438014.628560,0.35,No Attack
DER,Err,1648438614.628563,0.3,No Attack
DTM,Ind,1648439214.628567,0.28,No Attack
DCM,Dis,1648439814.628571,0.28,No Attack
DERAS,Ux,1648440414.628574,0.26,No Attack
DER,N,1648441014.628578,0.29,No Attack
DERAS,Ind,1648441614.628581,0.27,No Attack
DER,Dis,1648442214.628584,0.2,No Attack
DCM,N,1648442814.628588,0.22,No Attack
DERAS,Dis,1648443414.628591,0.43,No Attack
DERAS,Ind,1648444014.628594,0.35,No Attack
DER,Ux,1648444614.628598,0.34,No Attack
DER,Err,1648445214.628601,0.29,No Attack
DER,Ind,1648445814.628604,0.23,No Attack
DERAS,Err,1648446414.628608,0.25,No Attack
DTM,Err,1648447014.628611,0.36,No Attack
DCM,Ind,1648447614.628614,0.19,No Attack
DCM,Ux,1648448214.628618,0.34,No Attack
DER,Dis,1648448814.628621,0.23,No Attack
DTM,Err,1648449414.628624,0.21,No Attack
DER,Dis,1648450014.628628,0.4,No Attack
DER,Dis,1648450614.628632,0.24,No Attack
DTM,Dis,1648451214.628635,0.32,No Attack
DERAS,N,1648451814.628639,0.4,No Attack
DCM,Ux,1648452414.628642,0.35,No Attack
DTM,Err,1648453014.628647,0.41,No Attack
DERAS,Err,1648453614.628651,0.24,No Attack
DER,Ux,1648454214.628654,0.34,No Attack
DERAS,Dis,1648454814.628657,0.21,No Attack
DTM,Err,1648455414.628661,0.24,No Attack
DER,Ind,1648456014.628664,0.4,No Attack
DER,Ux,1648456614.628667,0.29,No Attack
DCM,N,1648457214.628671,0.31,No Attack
DERAS,Ux,1648457814.628674,0.19,No Attack
DTM,Dis,1648458414.628677,0.27,No Attack
DTM,Ux,1648459014.628681,0.33,No Attack
DTM,N,1648459614.628684,0.39,No Attack
DCM,Err,1648460214.628687,0.39,No Attack
DTM,Dis,1648460814.628690,0.41,No Attack
DERAS,Err,1648461414.628694,0.26,No Attack
DER,Err,1648462014.628697,0.44,No Attack
DTM,Ux,1648462614.628701,0.32,No Attack
DERAS,Ux,1648463214.628704,0.2,No Attack
DTM,N,1648463814.628708,0.25,No Attack
DTM,Ind,1648464414.628711,0.19,No Attack
DCM,N,1648465014.628714,0.43,No Attack
DERAS,Ux,1648465614.628717,0.16,No Attack
DCM,Dis,1648466214.628721,0.27,No Attack
DTM,Dis,1648466814.628724,0.18,No Attack
DTM,Err,1648467414.628728,0.18,No Attack
DERAS,Err,1648468014.628731,0.45,No Attack
DTM,Dis,1648468614.628734,0.29,No Attack
DER,Err,1648469214.628738,0.21,No Attack
DERAS,Err,1648469814.628741,0.39,No Attack
DERAS,Err,1648470414.628745,0.23,No Attack
DERAS,Ind,1648471014.628748,0.44,No Attack
DCM,Ind,1648471614.628751,0.45,No Attack
DERAS,N,1648472214.628754,0.24,No Attack
DTM,Dis,1648472814.628758,0.22,No Attack
DTM,Ind,1648473414.628761,0.25,No Attack
