dataset2_40hr_10min_flawed2.csv,27/03/2022
Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,relative factor of certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,Max CommFreq,Min TSLC,DTM response
DTM,Dis,1648428406.228392,0.22,-1.0,0,0.1,0.1,1.0,0,1,1,1648428406.228392,1648428406.228392,0.001,0.22,0.11,0,0,0,0,0.24819347291981714,0.0,100000.0,Do nothing
DER,Ind,1648429006.228401,0.21,-1.0,0,0.1,0.1,1.0,0,1,1,1648429006.228401,1648429006.228401,0.001,0.21,0.06999999999999999,0,0,0,0,0.11379806676741042,0.0,100000.0,Do nothing
DCM,Err,1648429606.228405,0.17,-1.0,0,0.1,0.1,1.0,0,1,1,1648429606.228405,1648429606.228405,0.001,0.17,0.0425,0,0,0,0,0.06733003292241385,0.0,100000.0,Do nothing
DERAS,Ind,1648430206.228408,0.2,-1.0,0,0.1,0.1,1.0,0,1,1,1648430206.228408,1648430206.228408,0.001,0.2,0.04,0,0,0,0,1.3170890159654386e-09,0.0,100000.0,Do nothing
DCM,Ind,1648430806.228411,0.37,-2.0,0,0.31720860497120945,0.15860430248560473,1.0,0,2,2,1648430806.228411,1648429606.228405,0.001666666658388244,0.37,0.09708333333333334,1200.0000059604645,0,0,0,0.06941421564300307,0.001,1200.0000059604645,Do nothing
DER,Ux,1648431406.228414,0.3,-2.0,0,0.1586043024068251,0.07930215120341255,1.0,0,2,2,1648431406.228414,1648429006.228401,0.0008333333287802008,0.3,0.10285714285714286,2400.000013113022,0,0,0,0.07511895328648518,0.001,2400.000013113022,Do nothing
DTM,Ind,1648432006.228418,0.17,-2.0,0,0.10573620141197769,0.052868100705988845,1.0,0,2,2,1648432006.228418,1648428406.228392,0.0005555555515083266,0.17,0.11750000000000001,3600.0000262260437,0,0,0,0.12380860805522138,0.001,3600.0000262260437,Do nothing
DCM,N,1648432606.228421,0.17,-4.758129074568142,0,0.16715042813052353,0.055716809376841175,1.0,0,3,3,1648432606.228421,1648429606.228405,0.0009999999946753184,0.17,0.1051851851851852,1800.0000100135803,0,0,0,0.10769711686707997,0.001666666658388244,1200.0000059604645,Do nothing
DCM,N,1648433206.228424,0.39,-2.2286723750736472,0,0.4833846582986486,0.12084616457466214,1.0,0,4,4,1648433206.228424,1648429606.228405,0.0011111111052242327,0.39,0.13366666666666668,600.0000030994415,0,0,0,0.05009866807820223,0.001666666658388244,600.0000030994415,Do nothing
DER,N,1648433806.228427,0.43,-2.3790645361023763,0,0.2611725427890053,0.08705751426300178,1.0,0,3,3,1648433806.228427,1648429006.228401,0.0006249999966161946,0.43,0.13259740259740257,2400.0000128746033,0,0,0,0.028414830589018093,0.001,2400.0000128746033,Do nothing
