,Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,relative factor of certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,Max CommFreq,Min TSLC,DTM response
3844,DER_4,Ex,1648428375.292119,0.16,0.1,0,0.0,0.1,1.0,1,0,1,1648428375.292119,1648428375.292119,0.001,0.16,0.08,0.0,0,0,0,0.233238075793812,0.0,100000.0,Do nothing
2883,DER_3,Ex,1648428379.767112,0.26,0.1,0,0.0,0.1,1.0,1,0,1,1648428379.767112,1648428379.767112,0.001,0.26,0.13,0.0,0,0,0,0.2497999199359359,0.0,100000.0,Do nothing
7688,DER_8,Ex,1648428383.627468,0.2,0.1,0,0.0,0.1,1.0,1,0,1,1648428383.627468,1648428383.627468,0.001,0.2,0.1,0.0,0,0,0,0.2449489742783178,0.0,100000.0,Do nothing
6727,DER_7,Ex,1648428387.995063,0.38,0.1,0,0.0,0.1,1.0,1,0,1,1648428387.995063,1648428387.995063,0.001,0.38,0.19,0.0,0,0,0,0.2135415650406262,0.0,100000.0,Do nothing
0,DER_0,Ex,1648428392.441803,0.21,0.1,0,0.0,0.1,1.0,1,0,1,1648428392.441803,1648428392.441803,0.001,0.21,0.105,0.0,0,0,0,0.2467792535850613,0.0,100000.0,Do nothing
4805,DER_5,Ux,1648428401.63378,0.28,-1.0,0,0.1,0.1,1.0,0,1,1,1648428401.63378,1648428401.63378,0.001,0.28,0.14,0.0,0,0,0,0.2481934729198171,0.0,100000.0,Do nothing
1922,DTM_2,Dis,1648428406.228392,0.22,-1.0,0,0.1,0.1,1.0,0,1,1,1648428406.228392,1648428406.228392,0.001,0.22,0.11,0.0,0,0,0,0.2481934729198171,0.0,100000.0,Do nothing
8649,DTM_9,Ux,1648428410.68668,0.25,-1.0,0,0.1,0.1,1.0,0,1,1,1648428410.68668,1648428410.68668,0.001,0.25,0.125,0.0,0,0,0,0.25,0.0,100000.0,Do nothing
5766,DERAS_6,Err,1648428414.628497,0.2,-1.0,0,0.1,0.1,1.0,0,1,1,1648428414.628497,1648428414.628497,0.001,0.2,0.1,0.0,0,0,0,0.2449489742783178,0.0,100000.0,Do nothing
961,DERAS_1,Ux,1648428418.596023,0.2,-1.0,0,0.1,0.1,1.0,0,1,1,1648428418.596023,1648428418.596023,0.001,0.2,0.1,0.0,0,0,0,0.2449489742783178,0.0,100000.0,Do nothing
3845,DCM_4,Ex,1648428975.292127,0.38,0.1,0,0.0,0.1,1.0,1,0,1,1648428975.292127,1648428975.292127,0.001,0.38,0.1266666666666666,0.0,0,0,0,0.0941629792788368,0.0,100000.0,Do nothing
2884,DCM_3,Ex,1648428979.76712,0.41,0.1,0,0.0,0.1,1.0,1,0,1,1648428979.76712,1648428979.76712,0.001,0.41,0.1366666666666666,0.0,0,0,0,0.1253661304606098,0.0,100000.0,Do nothing
