dataset4_40hr_10min_mixed3.csv,27/03/2022
Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,relative factor of certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,Max CommFreq,Min TSLC,DTM response
DERAS,Dis,1648430004.066802,0.38,-1.0,0,0.1,0.1,1.0,0,1,1,1648430004.066802,1648430004.066802,0.001,0.38,0.19,0,0,0,0,0.21354156504062624,0.0,100000.0,Do nothing
DERAS,Ux,1648430604.066813,0.4,-2.0,0,0.6344172014972449,0.31720860074862245,1.0,0,2,2,1648430604.066813,1648430004.066802,0.003333333272404142,0.4,0.26,600.0000109672546,0,0,0,0.2966479394838265,0.001,600.0000109672546,Do nothing
DER,Dis,1648431204.066819,0.23,-1.0,0,0.1,0.1,1.0,0,1,1,1648431204.066819,1648431204.066819,0.001,0.23,0.0575,0,0,0,0,0.03915780041490244,0.0,100000.0,Do nothing
DER,Dis,1648431804.066824,0.45,-2.0,0,0.6344172077996135,0.31720860389980676,1.0,0,2,2,1648431804.066824,1648431204.066819,0.0033333333055178328,0.45,0.136,600.0000050067902,0,0,0,0.10077822185373186,0.001,600.0000050067902,Do nothing
DTM,Dis,1648432404.066829,0.3,-1.0,0,0.1,0.1,1.0,0,1,1,1648432404.066829,1648432404.066829,0.001,0.3,0.049999999999999996,0,0,0,0,0.08944271909999159,0.0,100000.0,Do nothing
DER,Err,1648433004.066833,0.2,-9.516258116994203,0,0.10446901781958083,0.03482300593986028,1.0,0,3,3,1648433004.066833,1648431204.066819,0.001666666653641948,0.2,0.14514285714285716,1200.000009059906,0,0,0,0.14851647335276602,0.0033333333055178328,600.0000050067902,Do nothing
DERAS,Ux,1648433604.066838,0.15,-9.516258022458674,0,0.020893803916770357,0.006964601305590119,1.0,0,3,3,1648433604.066838,1648430004.066802,0.000833333324999721,0.15,0.24625,3000.000025033951,0,0,0,0.19374135925432723,0.003333333272404142,600.0000109672546,Do nothing
DCM,Err,1648434204.066842,0.38,-1.0,0,0.1,0.1,1.0,0,1,1,1648434204.066842,1648434204.066842,0.001,0.38,0.042222222222222223,0,0,0,0,0.11301425672109791,0.0,100000.0,Do nothing
DTM,N,1648434804.066847,0.41,-2.0,0,0.15860430207595075,0.07930215103797537,1.0,0,2,2,1648434804.066847,1648432404.066829,0.000833333327041732,0.41,0.086,2400.000018119812,0,0,0,0.08273115763993903,0.001,2400.000018119812,Do nothing
DER,Err,1648435404.066851,0.18,-1.392920237594411,0,0.05179121349081583,0.012947803372703957,1.0,0,4,4,1648435404.066851,1648431204.066819,0.0009523809451364877,0.18,0.1483116883116883,2400.0000178813934,0,0,0,0.1191794456260821,0.0033333333055178328,600.0000050067902,Do nothing
