,Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,relative factor of certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,Max CommFreq,Min TSLC,DTM response
7696,DER_8,Ex,1648429954.439031,0.44,0.1,0,0.0,0.1,1.0,1,0,1,1648429954.439031,1648429954.439031,0.001,0.44,0.22,0.0,0,0,0,0.1624807680927192,0.0,100000.0,Do nothing
0,DER_0,Ex,1648429959.373502,0.45,0.1,0,0.0,0.1,1.0,1,0,1,1648429959.373502,1648429959.373502,0.001,0.45,0.225,0.0,0,0,0,0.1499999999999999,0.0,100000.0,Do nothing
4811,DER_5,Ex,1648429963.580602,0.33,0.1,0,0.0,0.1,1.0,1,0,1,1648429963.580602,1648429963.580602,0.001,0.33,0.165,0.0,0,0,0,0.2368543856465402,0.0,100000.0,Do nothing
6735,DER_7,Ex,1648429968.044879,0.38,0.1,0,0.0,0.1,1.0,1,0,1,1648429968.044879,1648429968.044879,0.001,0.38,0.19,0.0,0,0,0,0.2135415650406262,0.0,100000.0,Do nothing
2887,DER_3,Ex,1648429972.186128,0.39,0.1,0,0.0,0.1,1.0,1,0,1,1648429972.186128,1648429972.186128,0.001,0.39,0.195,0.0,0,0,0,0.2071231517720797,0.0,100000.0,Do nothing
5772,DER_6,N,1648429990.995579,0.18,-1.0,0,0.1,0.1,1.0,0,1,1,1648429990.995579,1648429990.995579,0.001,0.18,0.09,0.0,0,0,0,0.24,0.0,100000.0,Do nothing
961,DTM_1,Ind,1648429997.558687,0.37,-1.0,0,0.1,0.1,1.0,0,1,1,1648429997.558687,1648429997.558687,0.001,0.37,0.185,0.0,0,0,0,0.2193171219946131,0.0,100000.0,Do nothing
3848,DERAS_4,Dis,1648430004.066802,0.38,-1.0,0,0.1,0.1,1.0,0,1,1,1648430004.066802,1648430004.066802,0.001,0.38,0.19,0.0,0,0,0,0.2135415650406262,0.0,100000.0,Do nothing
8657,DTM_9,Ind,1648430010.419994,0.3,-1.0,0,0.1,0.1,1.0,0,1,1,1648430010.419994,1648430010.419994,0.001,0.3,0.15,0.0,0,0,0,0.2449489742783178,0.0,100000.0,Do nothing
1924,DER_2,Ux,1648430016.839094,0.28,-1.0,0,0.1,0.1,1.0,0,1,1,1648430016.839094,1648430016.839094,0.001,0.28,0.14,0.0,0,0,0,0.2481934729198171,0.0,100000.0,Do nothing
7697,DCM_8,Ex,1648430554.439038,0.36,0.1,0,0.0,0.1,1.0,1,0,1,1648430554.439038,1648430554.439038,0.001,0.36,0.12,0.0,0,0,0,0.069282032302755,0.0,100000.0,Do nothing
1,DCM_0,Ex,1648430559.373509,0.23,0.1,0,0.0,0.1,1.0,1,0,1,1648430559.373509,1648430559.373509,0.001,0.23,0.0766666666666666,0.0,0,0,0,0.1090107028384522,0.0,100000.0,Do nothing
4812,DCM_5,Ex,1648430563.58061,0.43,0.1,0,0.0,0.1,1.0,1,0,1,1648430563.58061,1648430563.58061,0.001,0.43,0.1433333333333333,0.0,0,0,0,0.144164258168706,0.0,100000.0,Do nothing
6736,DCM_7,Ex,1648430568.044888,0.15,0.1,0,0.0,0.1,1.0,1,0,1,1648430568.044888,1648430568.044888,0.001,0.15,0.0499999999999999,0.0,0,0,0,0.1172603939955857,0.0,100000.0,Do nothing
2888,DCM_3,Ex,1648430572.186136,0.15,0.1,0,0.0,0.1,1.0,1,0,1,1648430572.186136,1648430572.186136,0.001,0.15,0.0499999999999999,0.0,0,0,0,0.1172603939955857,0.0,100000.0,Do nothing
5773,DER_6,Err,1648430590.99559,0.31,-2.0,0,0.6344172014972449,0.3172086007486224,1.0,0,2,2,1648430590.99559,1648429990.995579,0.0033333332724041,0.31,0.1633333333333333,600.0000109672546,0,0,0,0.2180978373727412,0.001,600.0000109672546,Do nothing
962,DER_1,Ux,1648430597.558697,0.33,-1.0,0,0.1,0.1,1.0,0,1,1,1648430597.558697,1648430597.558697,0.001,0.33,0.11,0.0,0,0,0,0.023452078799117,0.0,100000.0,Do nothing
3849,DERAS_4,Ux,1648430604.066813,0.4,-2.0,0,0.6344172014972449,0.3172086007486224,1.0,0,2,2,1648430604.066813,1648430004.066802,0.0033333332724041,0.4,0.26,600.0000109672546,0,0,0,0.2966479394838265,0.001,600.0000109672546,Do nothing
8658,DER_9,Ux,1648430610.420005,0.23,-1.0,0,0.1,0.1,1.0,0,1,1,1648430610.420005,1648430610.420005,0.001,0.23,0.0766666666666666,0.0,0,0,0,0.1090107028384522,0.0,100000.0,Do nothing
1925,DCM_2,N,1648430616.839104,0.28,-1.0,0,0.1,0.1,1.0,0,1,1,1648430616.839104,1648430616.839104,0.001,0.28,0.0933333333333333,0.0,0,0,0,0.0864098759787714,0.0,100000.0,Do nothing
7698,DERAS_8,Ex,1648431154.439041,0.31,0.1,0,0.0,0.1,1.0,1,0,1,1648431154.439041,1648431154.439041,0.001,0.31,0.0775,0.0,0,0,0,0.0787400787401181,0.0,100000.0,Do nothing
2,DERAS_0,Ex,1648431159.373512,0.18,0.1,0,0.0,0.1,1.0,1,0,1,1648431159.373512,1648431159.373512,0.001,0.18,0.045,0.0,0,0,0,0.0648074069840786,0.0,100000.0,Do nothing
4813,DERAS_5,Ex,1648431163.580613,0.24,0.1,0,0.0,0.1,1.0,1,0,1,1648431163.580613,1648431163.580613,0.001,0.24,0.06,0.0,0,0,0,0.0282842712474618,0.0,100000.0,Do nothing
6737,DERAS_7,Ex,1648431168.044891,0.18,0.1,0,0.0,0.1,1.0,1,0,1,1648431168.044891,1648431168.044891,0.001,0.18,0.045,0.0,0,0,0,0.0648074069840786,0.0,100000.0,Do nothing
2889,DERAS_3,Ex,1648431172.186139,0.34,0.1,0,0.0,0.1,1.0,1,0,1,1648431172.186139,1648431172.186139,0.001,0.34,0.085,0.0,0,0,0,0.1009950493836208,0.0,100000.0,Do nothing
5774,DER_6,Ind,1648431190.995596,0.41,-9.516258022458674,0,0.313407054351256,0.1044690181170853,1.0,0,3,3,1648431190.995596,1648429990.995579,0.0024999999647339,0.41,0.2249999999999999,600.0000059604645,0,0,0,0.2031966753883756,0.0033333332724041,600.0000059604645,Do nothing
963,DERAS_1,N,1648431197.558702,0.36,-1.0,0,0.1,0.1,1.0,0,1,1,1648431197.558702,1648431197.558702,0.001,0.36,0.09,0.0,0,0,0,0.1148912529307605,0.0,100000.0,Do nothing
3850,DER_4,Dis,1648431204.066819,0.23,-1.0,0,0.1,0.1,1.0,0,1,1,1648431204.066819,1648431204.066819,0.001,0.23,0.0575,0.0,0,0,0,0.0391578004149024,0.0,100000.0,Do nothing
8659,DERAS_9,Ux,1648431210.420011,0.35,-1.0,0,0.1,0.1,1.0,0,1,1,1648431210.420011,1648431210.420011,0.001,0.35,0.0875,0.0,0,0,0,0.1080123449734643,0.0,100000.0,Do nothing
1926,DTM_2,Dis,1648431216.83911,0.41,-1.0,0,0.1,0.1,1.0,0,1,1,1648431216.83911,1648431216.83911,0.001,0.41,0.1025,0.0,0,0,0,0.1478738200854588,0.0,100000.0,Do nothing
7699,DTM_8,Ex,1648431754.439043,0.16,0.1,0,0.0,0.1,1.0,1,0,1,1648431754.439043,1648431754.439043,0.001,0.16,0.032,0.0,0,0,0,0.04,0.0,100000.0,Do nothing
