Actor,Message Eval Catagory,Current Time,Transit Time,Attack Status
DER,Ex,1648430231.083439,0.32,No Attack
DCM,Ex,1648430831.083448,0.35,No Attack
DERAS,Ex,1648431431.083451,0.22,No Attack
DTM,Ex,1648432031.083454,0.37,No Attack
DER,Ex,1648432631.083456,0.15,No Attack
DCM,Ex,1648433231.083459,0.18,No Attack
DERAS,Ex,1648433831.083461,0.23,No Attack
DTM,Ex,1648434431.083463,0.42,No Attack
DER,Ex,1648435031.083466,0.21,No Attack
DCM,Ex,1648435631.083468,0.35,No Attack
DERAS,Ex,1648436231.083470,0.27,No Attack
DTM,Ex,1648436831.083473,0.36,No Attack
DER,Ex,1648437431.083475,0.42,No Attack
DCM,Ex,1648438031.083478,0.39,No Attack
DERAS,Ex,1648438631.083480,0.32,No Attack
DTM,Ex,1648439231.083482,0.2,No Attack
DER,Ex,1648439831.083485,0.2,No Attack
DCM,Ex,1648440431.083487,0.29,No Attack
DERAS,Ex,1648441031.083489,0.25,No Attack
DTM,Ex,1648441631.083492,0.25,No Attack
DER,Ex,1648442231.083494,0.29,No Attack
DCM,Ex,1648442831.083496,0.45,No Attack
DERAS,Ex,1648443431.083499,0.3,No Attack
DTM,Ex,1648444031.083501,0.35,No Attack
DER,Ex,1648444631.083503,0.17,No Attack
DCM,Ex,1648445231.083505,0.18,No Attack
DERAS,Ex,1648445831.083508,0.39,No Attack
DTM,Ex,1648446431.083510,0.29,No Attack
DER,Ex,1648447031.083512,0.44,No Attack
DCM,Ex,1648447631.083515,0.3,No Attack
DERAS,Ex,1648448231.083517,0.22,No Attack
DTM,Ex,1648448831.083519,0.45,No Attack
DER,Ex,1648449431.083521,0.43,No Attack
DCM,Ex,1648450031.083524,0.36,No Attack
DERAS,Ex,1648450631.083526,0.41,No Attack
DTM,Ex,1648451231.083528,0.37,No Attack
DER,Ex,1648451831.083530,0.33,No Attack
DCM,Ex,1648452431.083533,0.42,No Attack
DERAS,Ex,1648453031.083535,0.26,No Attack
DTM,Ex,1648453631.083537,0.23,No Attack
DER,Ex,1648454231.083540,0.25,No Attack
DCM,Ex,1648454831.083542,0.18,No Attack
DERAS,Ex,1648455431.083544,0.21,No Attack
DTM,Ex,1648456031.083546,0.33,No Attack
DER,Ex,1648456631.083548,0.2,No Attack
DCM,Ex,1648457231.083551,0.16,No Attack
DERAS,Ex,1648457831.083553,0.35,No Attack
DTM,Ex,1648458431.083555,0.28,No Attack
DER,Ex,1648459031.083558,0.44,No Attack
DCM,Ex,1648459631.083560,0.3,No Attack
DERAS,Ex,1648460231.083562,0.23,No Attack
DTM,Ex,1648460831.083564,0.33,No Attack
DER,Ex,1648461431.083567,0.39,No Attack
DCM,Ex,1648462031.083569,0.35,No Attack
DERAS,Ex,1648462631.083571,0.23,No Attack
DTM,Ex,1648463231.083573,0.33,No Attack
DER,Ex,1648463831.083575,0.33,No Attack
DCM,Ex,1648464431.083578,0.4,No Attack
DERAS,Ex,1648465031.083580,0.37,No Attack
DTM,Ex,1648465631.083582,0.2,No Attack
DER,Ex,1648466231.083584,0.16,No Attack
DCM,Ex,1648466831.083587,0.32,No Attack
DERAS,Ex,1648467431.083589,0.35,No Attack
DTM,Ex,1648468031.083591,0.38,No Attack
DER,Ex,1648468631.083594,0.28,No Attack
DCM,Ex,1648469231.083596,0.19,No Attack
DERAS,Ex,1648469831.083598,0.27,No Attack
DTM,Ex,1648470431.083600,0.17,No Attack
DER,Ex,1648471031.083603,0.25,No Attack
DCM,Ex,1648471631.083605,0.27,No Attack
DERAS,Ex,1648472231.083607,0.37,No Attack
DTM,Ex,1648472831.083609,0.33,No Attack
DER,Ex,1648473431.083612,0.36,No Attack
DCM,Ex,1648474031.083614,0.36,No Attack
DERAS,Ex,1648474631.083616,0.23,No Attack
DTM,Ex,1648475231.083618,0.26,No Attack
DER,Ex,1648475831.083621,0.35,No Attack
DCM,Ex,1648476431.083623,0.26,No Attack
DERAS,Ex,1648477031.083625,0.21,No Attack
DTM,Ex,1648477631.083628,0.41,No Attack
DER,Ex,1648478231.083630,0.26,No Attack
DCM,Ex,1648478831.083632,0.38,No Attack
DERAS,Ex,1648479431.083634,0.42,No Attack
DTM,Ex,1648480031.083636,0.25,No Attack
DER,Ex,1648480631.083639,0.26,No Attack
DCM,Ex,1648481231.083641,0.43,No Attack
DERAS,Ex,1648481831.083643,0.16,No Attack
DTM,Ex,1648482431.083645,0.17,No Attack
DER,Ex,1648483031.083648,0.4,No Attack
DCM,Ex,1648483631.083650,0.17,No Attack
DERAS,Ex,1648484231.083652,0.41,No Attack
DTM,Ex,1648484831.083655,0.38,No Attack
DER,Ex,1648485431.083657,0.27,No Attack
DCM,Ex,1648486031.083659,0.36,No Attack
DERAS,Ex,1648486631.083661,0.29,No Attack
DTM,Ex,1648487231.083663,0.25,No Attack
DER,Ex,1648487831.083666,0.17,No Attack
DCM,Ex,1648488431.083668,0.4,No Attack
DERAS,Ex,1648489031.083670,0.22,No Attack
DTM,Ex,1648489631.083673,0.18,No Attack
DER,Ex,1648490231.083675,0.35,No Attack
DCM,Ex,1648490831.083677,0.28,No Attack
DERAS,Ex,1648491431.083679,0.22,No Attack
DTM,Ex,1648492031.083682,0.2,No Attack
DER,Ex,1648492631.083684,0.27,No Attack
DCM,Ex,1648493231.083686,0.24,No Attack
DERAS,Ex,1648493831.083688,0.38,No Attack
DTM,Ex,1648494431.083690,0.31,No Attack
DER,Ex,1648495031.083693,0.44,No Attack
DCM,Ex,1648495631.083695,0.16,No Attack
DERAS,Ex,1648496231.083698,0.4,No Attack
DTM,Ex,1648496831.083700,0.3,No Attack
DER,Ex,1648497431.083702,0.31,No Attack
DCM,Ex,1648498031.083704,0.4,No Attack
DERAS,Ex,1648498631.083707,0.43,No Attack
DTM,Ex,1648499231.083709,0.28,No Attack
DER,Ex,1648499831.083711,0.41,No Attack
DCM,Ex,1648500431.083713,0.35,No Attack
DERAS,Ex,1648501031.083716,0.39,No Attack
DTM,Ex,1648501631.083718,0.23,No Attack
DER,Ex,1648502231.083720,0.39,No Attack
DCM,Ex,1648502831.083723,0.21,No Attack
DERAS,Ex,1648503431.083725,0.39,No Attack
DTM,Ex,1648504031.083727,0.32,No Attack
DER,Ex,1648504631.083729,0.27,No Attack
DCM,Ex,1648505231.083732,0.44,No Attack
DERAS,Ex,1648505831.083734,0.28,No Attack
DTM,Ex,1648506431.083736,0.17,No Attack
DER,Ex,1648507031.083738,0.32,No Attack
DCM,Ex,1648507631.083740,0.26,No Attack
DERAS,Ex,1648508231.083743,0.23,No Attack
DTM,Ex,1648508831.083745,0.17,No Attack
DER,Ex,1648509431.083747,0.24,No Attack
DCM,Ex,1648510031.083749,0.42,No Attack
DERAS,Ex,1648510631.083752,0.33,No Attack
