dataset5_40hr_10min_flawed1.csv,27/03/2022
Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,relative factor of certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,Max CommFreq,Min TSLC,DTM response
DCM,N,1648430216.485761,0.4,-1.0,0,0.1,0.1,1.0,0,1,1,1648430216.485761,1648430216.485761,0.001,0.4,0.2,0,0,0,0,0.19999999999999996,0.0,100000.0,Do nothing
DERAS,Err,1648430816.485770,0.36,-1.0,0,0.1,0.1,1.0,0,1,1,1648430816.48577,1648430816.48577,0.001,0.36,0.12,0,0,0,0,0.06928203230275508,0.0,100000.0,Do nothing
DTM,Dis,1648431416.485775,0.22,-1.0,0,0.1,0.1,1.0,0,1,1,1648431416.485775,1648431416.485775,0.001,0.22,0.055,0,0,0,0,0.046904157598234304,0.0,100000.0,Do nothing
DCM,N,1648432016.485778,0.15,-2.0,0,0.2114724023477764,0.1057362011738882,1.0,0,2,2,1648432016.485778,1648430216.485761,0.00111111110051473,0.15,0.19,1800.0000171661377,0,0,0,0.22220486043288973,0.001,1800.0000171661377,Do nothing
DCM,Ux,1648432616.485781,0.22,-3.172086035216646,0,0.4701105801258454,0.15670352670861512,1.0,0,3,3,1648432616.485781,1648430216.485761,0.0012499999895691873,0.22,0.19499999999999998,600.000002861023,0,0,0,0.19411336893681486,0.00111111110051473,600.000002861023,Do nothing
DTM,N,1648433216.485785,0.19,-2.0,0,0.21147240318809224,0.10573620159404612,1.0,0,2,2,1648433216.485785,1648431416.485775,0.0011111111049298887,0.19,0.07428571428571429,1800.0000100135803,0,0,0,0.09003306271005325,0.001,1800.0000100135803,Do nothing
DCM,N,1648433816.485788,0.32,-6.268141068344605,0,0.32225643884442357,0.08056410971110589,1.0,0,4,4,1648433816.485788,1648430216.485761,0.0011111111027223093,0.32,0.21062499999999998,1200.0000071525574,0,0,0,0.15612494995995996,0.0012499999895691873,600.000002861023,Do nothing
DERAS,Ux,1648434416.485791,0.32,-2.0,0,0.10573620156603558,0.05286810078301779,1.0,0,2,2,1648434416.485791,1648430816.48577,0.0005555555523177724,0.32,0.14222222222222222,3600.000020980835,0,0,0,0.09888264649460884,0.001,3600.000020980835,Do nothing
DCM,Ind,1648435016.485794,0.45,-4.0282054855552945,0,0.46083170250681704,0.09216634050136341,1.0,0,5,5,1648435016.485794,1648430216.485761,0.0010416666594747867,0.45,0.2345625,1200.0000059604645,0,0,0,0.11871710070583764,0.0012499999895691873,600.000002861023,Do nothing
DTM,N,1648435616.485797,0.4,-3.1720860478213835,0,0.2014759628596099,0.06715865428653663,1.0,0,3,3,1648435616.485797,1648431416.485775,0.0007142857105553556,0.4,0.10389610389610389,2400.000011920929,0,0,0,0.05137081894384245,0.0011111111049298887,1800.0000100135803,Do nothing
DERAS,Ux,1648436216.485800,0.27,-1.5860430234905336,0,0.23215337133341118,0.07738445711113706,1.0,0,3,3,1648436216.4858,1648430816.48577,0.0005555555524649443,0.27,0.15287037037037038,1800.000009059906,0,0,0,0.10373496402343214,0.001,1800.000009059906,Do nothing
DTM,Ind,1648436816.485803,0.33,-2.686346171461465,0,0.483384658650795,0.12084616466269875,1.0,0,4,4,1648436816.485803,1648431416.485775,0.0007407407369142698,0.33,0.1212887112887113,1200.0000059604645,0,0,0,0.06236614036907739,0.0011111111049298887,1200.0000059604645,Do nothing
