dataset5_40hr_10min_ideal4.csv,27/03/2022
Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,relative factor of certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,Max CommFreq,Min TSLC,DTM response
DER,Ex,1648430244.983819,0.21,0.1,0,0.0,0.1,1.0,1,0,1,1648430244.983819,1648430244.983819,0.001,0.21,0.105,0,0,0,0,0.24677925358506134,0.0,100000.0,Do nothing
DCM,Ex,1648430844.983827,0.2,0.1,0,0.0,0.1,1.0,1,0,1,1648430844.983827,1648430844.983827,0.001,0.2,0.06666666666666667,0,0,0,0,0.11547005383792514,0.0,100000.0,Do nothing
DERAS,Ex,1648431444.983830,0.41,0.1,0,0.0,0.1,1.0,1,0,1,1648431444.98383,1648431444.98383,0.001,0.41,0.1025,0,0,0,0,0.14787382008545888,0.0,100000.0,Do nothing
DTM,Ex,1648432044.983832,0.4,0.1,0,0.0,0.1,1.0,1,0,1,1648432044.983832,1648432044.983832,0.001,0.4,0.08,0,0,0,0,0.14142135623730953,0.0,100000.0,Do nothing
DER,Ex,1648432644.983835,0.39,0.2,0,0.0,0.07930215110887702,1.0,2,0,2,1648432644.983835,1648430244.983819,0.00083333332778679,0.39,0.1525,2400.000015974045,0,0,0,0.09093954035511724,0.001,2400.000015974045,Do nothing
DCM,Ex,1648433244.983837,0.45,0.2,0,0.0,0.07930215131370401,1.0,2,0,2,1648433244.983837,1648430844.983827,0.0008333333299391799,0.45,0.12142857142857144,2400.0000097751617,0,0,0,0.09225998461903602,0.001,2400.0000097751617,Do nothing
DERAS,Ex,1648433844.983839,0.24,0.2,0,0.0,0.07930215133733788,1.0,2,0,2,1648433844.983839,1648431444.98383,0.0008333333301875326,0.24,0.11968749999999999,2400.000009059906,0,0,0,0.11128310101461304,0.001,2400.000009059906,Do nothing
DTM,Ex,1648434444.983842,0.34,0.2,0,0.0,0.07930215130582603,1.0,2,0,2,1648434444.983842,1648432044.983832,0.0008333333298563957,0.34,0.10888888888888888,2400.0000100135803,0,0,0,0.05060742150229657,0.001,2400.0000100135803,Do nothing
DER,Ex,1648435044.983844,0.33,0.23790645332663107,0,0.0,0.08705751428029855,1.0,3,0,3,1648435044.983844,1648430244.983819,0.000624999996740371,0.33,0.17025,2400.000009059906,0,0,0,0.11139269874337965,0.001,2400.000009059906,Do nothing
DCM,Ex,1648435644.983846,0.45,0.23790645394111204,0,0.0,0.08705751439272758,1.0,3,0,3,1648435644.983846,1648430844.983827,0.0006249999975475172,0.45,0.1512987012987013,2400.000009059906,0,0,0,0.018551437792145492,0.001,2400.000009059906,Do nothing
DERAS,Ex,1648436244.983848,0.22,0.23790645401201366,0,0.0,0.08705751440570016,1.0,3,0,3,1648436244.983848,1648431444.98383,0.0006249999976406495,0.22,0.12804687499999998,2400.000009059906,0,0,0,0.0981548521470029,0.001,2400.000009059906,Do nothing
DTM,Ex,1648436844.983850,0.39,0.2379064539174781,0,0.0,0.08705751440570016,1.0,3,0,3,1648436844.98385,1648432044.983832,0.0006249999976406495,0.39,0.1305128205128205,2400.0000081062317,0,0,0,0.04171279497896615,0.001,2400.0000081062317,Do nothing
DER,Ex,1648437444.983852,0.33,0.3482300571211942,0,0.0,0.10070513671870779,1.0,4,0,4,1648437444.983852,1648430244.983819,0.0005555555530168392,0.33,0.18166071428571431,2400.000007867813,0,0,0,0.09959271454885038,0.001,2400.000007867813,Do nothing
