,Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,relative factor of certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,Max CommFreq,Min TSLC,DTM response
961,DERAS_1,Dis,1648430191.697671,0.27,-1.0,0,0.1,0.1,1.0,0,1,1,1648430191.697671,1648430191.697671,0.001,0.27,0.135,0.0,0,0,0,0.2491987158875422,0.0,100000.0,Do nothing
7690,DER_8,Ux,1648430198.114256,0.37,-1.0,0,0.1,0.1,1.0,0,1,1,1648430198.114256,1648430198.114256,0.001,0.37,0.185,0.0,0,0,0,0.2193171219946131,0.0,100000.0,Do nothing
6729,DCM_7,N,1648430216.485761,0.4,-1.0,0,0.1,0.1,1.0,0,1,1,1648430216.485761,1648430216.485761,0.001,0.4,0.2,0.0,0,0,0,0.1999999999999999,0.0,100000.0,Do nothing
3846,DER_4,Dis,1648430220.955936,0.33,-1.0,0,0.1,0.1,1.0,0,1,1,1648430220.955936,1648430220.955936,0.001,0.33,0.165,0.0,0,0,0,0.2368543856465402,0.0,100000.0,Do nothing
0,DER_0,Ex,1648430231.083439,0.32,0.1,0,0.0,0.1,1.0,1,0,1,1648430231.083439,1648430231.083439,0.001,0.32,0.16,0.0,0,0,0,0.24,0.0,100000.0,Do nothing
8653,DER_9,Ex,1648430235.846904,0.39,0.1,0,0.0,0.1,1.0,1,0,1,1648430235.846904,1648430235.846904,0.001,0.39,0.195,0.0,0,0,0,0.2071231517720797,0.0,100000.0,Do nothing
2885,DER_3,Ex,1648430240.188569,0.34,0.1,0,0.0,0.1,1.0,1,0,1,1648430240.188569,1648430240.188569,0.001,0.34,0.17,0.0,0,0,0,0.233238075793812,0.0,100000.0,Do nothing
1924,DER_2,Ex,1648430244.983819,0.21,0.1,0,0.0,0.1,1.0,1,0,1,1648430244.983819,1648430244.983819,0.001,0.21,0.105,0.0,0,0,0,0.2467792535850613,0.0,100000.0,Do nothing
5768,DER_6,Ex,1648430248.895466,0.43,0.1,0,0.0,0.1,1.0,1,0,1,1648430248.895466,1648430248.895466,0.001,0.43,0.215,0.0,0,0,0,0.1734935157289747,0.0,100000.0,Do nothing
4807,DER_5,Ex,1648430252.822601,0.22,0.1,0,0.0,0.1,1.0,1,0,1,1648430252.822601,1648430252.822601,0.001,0.22,0.11,0.0,0,0,0,0.2481934729198171,0.0,100000.0,Do nothing
962,DTM_1,Dis,1648430791.697681,0.18,-1.0,0,0.1,0.1,1.0,0,1,1,1648430791.697681,1648430791.697681,0.001,0.18,0.06,0.0,0,0,0,0.1174734012447073,0.0,100000.0,Do nothing
7691,DTM_8,Err,1648430798.114266,0.29,-1.0,0,0.1,0.1,1.0,0,1,1,1648430798.114266,1648430798.114266,0.001,0.29,0.0966666666666666,0.0,0,0,0,0.0792674796706274,0.0,100000.0,Do nothing
6730,DERAS_7,Err,1648430816.48577,0.36,-1.0,0,0.1,0.1,1.0,0,1,1,1648430816.48577,1648430816.48577,0.001,0.36,0.12,0.0,0,0,0,0.069282032302755,0.0,100000.0,Do nothing
3847,DCM_4,Ind,1648430820.955944,0.19,-1.0,0,0.1,0.1,1.0,0,1,1,1648430820.955944,1648430820.955944,0.001,0.19,0.0633333333333333,0.0,0,0,0,0.1166904737614286,0.0,100000.0,Do nothing
1,DCM_0,Ex,1648430831.083448,0.35,0.1,0,0.0,0.1,1.0,1,0,1,1648430831.083448,1648430831.083448,0.001,0.35,0.1166666666666666,0.0,0,0,0,0.0540061724867321,0.0,100000.0,Do nothing
8654,DCM_9,Ex,1648430835.846912,0.4,0.1,0,0.0,0.1,1.0,1,0,1,1648430835.846912,1648430835.846912,0.001,0.4,0.1333333333333333,0.0,0,0,0,0.1154700538379252,0.0,100000.0,Do nothing
2886,DCM_3,Ex,1648430840.188578,0.19,0.1,0,0.0,0.1,1.0,1,0,1,1648430840.188578,1648430840.188578,0.001,0.19,0.0633333333333333,0.0,0,0,0,0.1166904737614286,0.0,100000.0,Do nothing
1925,DCM_2,Ex,1648430844.983827,0.2,0.1,0,0.0,0.1,1.0,1,0,1,1648430844.983827,1648430844.983827,0.001,0.2,0.0666666666666666,0.0,0,0,0,0.1154700538379251,0.0,100000.0,Do nothing
5769,DCM_6,Ex,1648430848.895474,0.29,0.1,0,0.0,0.1,1.0,1,0,1,1648430848.895474,1648430848.895474,0.001,0.29,0.0966666666666666,0.0,0,0,0,0.0792674796706274,0.0,100000.0,Do nothing
