dataset1_40hr_10min_ideal8.csv,27/03/2022
Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,relative factor of certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,Max CommFreq,Min TSLC,DTM response
DER,Ex,1648428324.615182,0.43,0.1,0,0.0,0.1,1.0,1,0,1,1648428324.615182,1648428324.615182,0.001,0.43,0.215,0,0,0,0,0.17349351572897476,0.0,100000.0,Do nothing
DCM,Ex,1648428924.615189,0.28,0.1,0,0.0,0.1,1.0,1,0,1,1648428924.615189,1648428924.615189,0.001,0.28,0.09333333333333334,0,0,0,0,0.08640987597877145,0.0,100000.0,Do nothing
DERAS,Ex,1648429524.615192,0.4,0.1,0,0.0,0.1,1.0,1,0,1,1648429524.615192,1648429524.615192,0.001,0.4,0.1,0,0,0,0,0.14142135623730953,0.0,100000.0,Do nothing
DTM,Ex,1648430124.615194,0.17,0.1,0,0.0,0.1,1.0,1,0,1,1648430124.615194,1648430124.615194,0.001,0.17,0.034,0,0,0,0,0.03570714214271424,0.0,100000.0,Do nothing
DER,Ex,1648430724.615196,0.31,0.2,0,0.0,0.0793021511719007,1.0,2,0,2,1648430724.615196,1648428324.615182,0.0008333333284490639,0.31,0.23083333333333333,2400.000014066696,0,0,0,0.20069047477811863,0.001,2400.000014066696,Do nothing
DCM,Ex,1648431324.615199,0.18,0.2,0,0.0,0.07930215130582603,1.0,2,0,2,1648431324.615199,1648428924.615189,0.0008333333298563957,0.18,0.10571428571428572,2400.0000100135803,0,0,0,0.12255222404774065,0.001,2400.0000100135803,Do nothing
DERAS,Ex,1648431924.615201,0.45,0.2,0,0.0,0.07930215133733788,1.0,2,0,2,1648431924.615201,1648429524.615192,0.0008333333301875326,0.45,0.14375000000000002,2400.000009059906,0,0,0,0.04432026302139589,0.001,2400.000009059906,Do nothing
DTM,Ex,1648432524.615203,0.19,0.2,0,0.0,0.07930215134521584,1.0,2,0,2,1648432524.615203,1648430124.615194,0.0008333333302703169,0.19,0.051333333333333335,2400.0000088214874,0,0,0,0.052073665769433466,0.001,2400.0000088214874,Do nothing
DER,Ex,1648433124.615205,0.15,0.2379064535157021,0,0.0,0.0870575143148921,1.0,3,0,3,1648433124.615205,1648428324.615182,0.0006249999969887237,0.15,0.22275,2400.000009059906,0,0,0,0.16154634697888473,0.001,2400.000009059906,Do nothing
DCM,Ex,1648433724.615207,0.24,0.2379064539174781,0,0.0,0.08705751441002434,1.0,3,0,3,1648433724.615207,1648428924.615189,0.0006249999976716935,0.24,0.11792207792207793,2400.000007867813,0,0,0,0.09257078723523231,0.001,2400.000007867813,Do nothing
DERAS,Ex,1648434324.615210,0.4,0.23790645401201366,0,0.0,0.08705751440570016,1.0,3,0,3,1648434324.61521,1648429524.615192,0.0006249999976406495,0.4,0.1651041666666667,2400.000009059906,0,0,0,0.07544062485682287,0.001,2400.000009059906,Do nothing
DTM,Ex,1648434924.615212,0.33,0.23790645403564753,0,0.0,0.08705751440137595,1.0,3,0,3,1648434924.615212,1648430124.615194,0.0006249999976716935,0.33,0.07276923076923077,2400.000009059906,0,0,0,0.03999038345941146,0.001,2400.0000088214874,Do nothing
DER,Ex,1648435524.615214,0.44,0.3482300572595684,0,0.0,0.10070513672871195,1.0,4,0,4,1648435524.615214,1648428324.615182,0.0005555555530720287,0.44,0.23826785714285714,2400.000009059906,0,0,0,0.10476268314729142,0.001,2400.000009059906,Do nothing
DCM,Ex,1648436124.615216,0.25,0.34823005764009735,0,0.0,0.10070513675205497,1.0,4,0,4,1648436124.615216,1648428924.615189,0.0005555555534767516,0.25,0.12672727272727272,2400.000009059906,0,0,0,0.0818132857739378,0.001,2400.000007867813,Do nothing
DERAS,Ex,1648436724.615218,0.3,0.3482300576228006,0,0.0,0.10070513681541464,1.0,4,0,4,1648436724.615218,1648429524.615192,0.0005555555535503376,0.3,0.17353515625000002,2400.000007867813,0,0,0,0.09418648390294651,0.001,2400.000007867813,Do nothing
DTM,Ex,1648437324.615221,0.34,0.3482300576055038,0,0.0,0.10070513679207159,1.0,4,0,4,1648437324.615221,1648430124.615194,0.0005555555534767516,0.34,0.08848868778280543,2400.000009059906,0,0,0,0.012170080514462831,0.001,2400.0000088214874,Do nothing
DER,Ex,1648437924.615223,0.43,0.5035256836435598,0,0.0,0.11520792499151349,1.0,5,0,5,1648437924.615223,1648428324.615182,0.0005208333311085072,0.43,0.24891964285714283,2400.0000088214874,0,0,0,0.09895775136199209,0.001,2400.0000088214874,Do nothing
DCM,Ex,1648438524.615225,0.2,0.5035256837602748,0,0.0,0.1152079249943747,1.0,5,0,5,1648438524.615225,1648428924.615189,0.0005208333313801429,0.2,0.13058373205741627,2400.000009059906,0,0,0,0.08025279039900206,0.001,2400.000007867813,Do nothing
DERAS,Ex,1648439124.615227,0.31,0.5035256840770732,0,0.0,0.11520792500581958,1.0,5,0,5,1648439124.615227,1648429524.615192,0.0005208333314318831,0.31,0.1803583984375,2400.000009059906,0,0,0,0.08524092693653677,0.001,2400.000007867813,Do nothing
DTM,Ex,1648439724.615229,0.33,0.5035256839603579,0,0.0,0.11520792506590521,1.0,5,0,5,1648439724.615229,1648430124.615194,0.0005208333314448182,0.33,0.0999892264598147,2400.000007867813,0,0,0,0.031851603906350216,0.001,2400.000007867813,Do nothing
DER,Ex,1648440324.615231,0.35,0.6912475499490809,0,0.0,0.12959088912874467,1.0,6,0,6,1648440324.615231,1648428324.615182,0.0004999999979535738,0.35,0.2535142045454545,2400.0000081062317,0,0,0,0.10191875371739666,0.001,2400.0000081062317,Do nothing
DCM,Ex,1648440924.615234,0.36,0.6912475499662482,0,0.0,0.12959088912359523,1.0,6,0,6,1648440924.615234,1648428924.615189,0.0004999999981323878,0.36,0.140558352402746,2400.0000088214874,0,0,0,0.051331585147856386,0.001,2400.000007867813,Do nothing
DERAS,Ex,1648441524.615236,0.3,0.6912475500349176,0,0.0,0.12959088911844574,1.0,6,0,6,1648441524.615236,1648429524.615192,0.0004999999981621902,0.3,0.18534346516927083,2400.000009059906,0,0,0,0.08060935987850694,0.001,2400.000007867813,Do nothing
