Actor,Message Eval Catagory,Current Time,Transit Time,Attack Status
DER,Ex,1648429369.282019,0.35,No Attack
DCM,Ex,1648429969.282027,0.34,No Attack
DERAS,Ex,1648430569.282030,0.24,No Attack
DTM,Ex,1648431169.282033,0.45,No Attack
DER,Ex,1648431769.282035,0.33,No Attack
DCM,Ex,1648432369.282037,0.28,No Attack
DERAS,Ex,1648432969.282039,0.45,No Attack
DTM,Ex,1648433569.282041,0.29,No Attack
DER,Ex,1648434169.282043,0.31,No Attack
DCM,Ex,1648434769.282046,0.41,No Attack
DERAS,Ex,1648435369.282048,0.37,No Attack
DTM,Ex,1648435969.282050,0.38,No Attack
DER,Ex,1648436569.282052,0.32,No Attack
DCM,Ex,1648437169.282054,0.44,No Attack
DERAS,Ex,1648437769.282056,0.21,No Attack
DTM,Ex,1648438369.282058,0.28,No Attack
DER,Ex,1648438969.282060,0.39,No Attack
DCM,Ex,1648439569.282062,0.15,No Attack
DERAS,Ex,1648440169.282065,0.45,No Attack
DTM,Ex,1648440769.282067,0.35,No Attack
DER,Ex,1648441369.282069,0.18,No Attack
DCM,Ex,1648441969.282071,0.38,No Attack
DERAS,Ex,1648442569.282073,0.44,No Attack
DTM,Ex,1648443169.282075,0.34,No Attack
DER,Ex,1648443769.282077,0.42,No Attack
DCM,Ex,1648444369.282079,0.34,No Attack
DERAS,Ex,1648444969.282081,0.23,No Attack
DTM,Ex,1648445569.282083,0.33,No Attack
DER,Ex,1648446169.282085,0.24,No Attack
DCM,Ex,1648446769.282087,0.24,No Attack
DERAS,Ex,1648447369.282089,0.37,No Attack
DTM,Ex,1648447969.282091,0.45,No Attack
DER,Ex,1648448569.282094,0.19,No Attack
DCM,Ex,1648449169.282096,0.31,No Attack
DERAS,Ex,1648449769.282098,0.15,No Attack
DTM,Ex,1648450369.282100,0.36,No Attack
DER,Ex,1648450969.282102,0.42,No Attack
DCM,Ex,1648451569.282104,0.39,No Attack
DERAS,Ex,1648452169.282106,0.2,No Attack
DTM,Ex,1648452769.282108,0.23,No Attack
DER,Ex,1648453369.282110,0.19,No Attack
DCM,Ex,1648453969.282112,0.34,No Attack
DERAS,Ex,1648454569.282114,0.41,No Attack
DTM,Ex,1648455169.282117,0.19,No Attack
DER,Ex,1648455769.282119,0.4,No Attack
DCM,Ex,1648456369.282121,0.21,No Attack
DERAS,Ex,1648456969.282123,0.18,No Attack
DTM,Ex,1648457569.282125,0.39,No Attack
DER,Ex,1648458169.282127,0.25,No Attack
DCM,Ex,1648458769.282129,0.27,No Attack
DERAS,Ex,1648459369.282131,0.44,No Attack
DTM,Ex,1648459969.282133,0.15,No Attack
DER,Ex,1648460569.282136,0.23,No Attack
DCM,Ex,1648461169.282137,0.42,No Attack
DERAS,Ex,1648461769.282140,0.16,No Attack
DTM,Ex,1648462369.282142,0.21,No Attack
DER,Ex,1648462969.282144,0.16,No Attack
DCM,Ex,1648463569.282146,0.33,No Attack
DERAS,Ex,1648464169.282147,0.34,No Attack
DTM,Ex,1648464769.282150,0.3,No Attack
DER,Ex,1648465369.282152,0.32,No Attack
DCM,Ex,1648465969.282154,0.15,No Attack
DERAS,Ex,1648466569.282156,0.4,No Attack
DTM,Ex,1648467169.282158,0.41,No Attack
DER,Ex,1648467769.282160,0.17,No Attack
DCM,Ex,1648468369.282162,0.21,No Attack
DERAS,Ex,1648468969.282164,0.35,No Attack
DTM,Ex,1648469569.282166,0.4,No Attack
DER,Ex,1648470169.282168,0.3,No Attack
DCM,Ex,1648470769.282170,0.18,No Attack
DERAS,Ex,1648471369.282172,0.19,No Attack
DTM,Ex,1648471969.282174,0.41,No Attack
DER,Ex,1648472569.282176,0.37,No Attack
DCM,Ex,1648473169.282178,0.32,No Attack
DERAS,Ex,1648473769.282180,0.32,No Attack
DTM,Ex,1648474369.282183,0.34,No Attack
DER,Ex,1648474969.282185,0.38,No Attack
DCM,Ex,1648475569.282187,0.27,No Attack
DERAS,Ex,1648476169.282189,0.26,No Attack
DTM,Ex,1648476769.282191,0.42,No Attack
DER,Ex,1648477369.282193,0.4,No Attack
DCM,Ex,1648477969.282195,0.38,No Attack
DERAS,Ex,1648478569.282197,0.39,No Attack
DTM,Ex,1648479169.282199,0.18,No Attack
DER,Ex,1648479769.282201,0.29,No Attack
DCM,Ex,1648480369.282203,0.39,No Attack
DERAS,Ex,1648480969.282205,0.43,No Attack
DTM,Ex,1648481569.282207,0.4,No Attack
DER,Ex,1648482169.282209,0.4,No Attack
DCM,Ex,1648482769.282211,0.24,No Attack
DERAS,Ex,1648483369.282213,0.28,No Attack
DTM,Ex,1648483969.282215,0.35,No Attack
DER,Ex,1648484569.282217,0.41,No Attack
DCM,Ex,1648485169.282219,0.4,No Attack
DERAS,Ex,1648485769.282221,0.4,No Attack
DTM,Ex,1648486369.282223,0.35,No Attack
DER,Ex,1648486969.282225,0.17,No Attack
DCM,Ex,1648487569.282227,0.19,No Attack
DERAS,Ex,1648488169.282229,0.28,No Attack
DTM,Ex,1648488769.282231,0.36,No Attack
DER,Ex,1648489369.282233,0.41,No Attack
DCM,Ex,1648489969.282235,0.24,No Attack
DERAS,Ex,1648490569.282237,0.35,No Attack
DTM,Ex,1648491169.282239,0.2,No Attack
DER,Ex,1648491769.282241,0.37,No Attack
