Actor,Message Eval Catagory,Current Time,Transit Time,Attack Status
DER,Ind,1648429406.885546,0.23,No Attack
DTM,Dis,1648430006.885557,0.18,No Attack
DCM,Ux,1648430606.885563,0.33,No Attack
DERAS,Err,1648431206.885568,0.37,No Attack
DERAS,Ux,1648431806.885573,0.43,No Attack
DTM,Ux,1648432406.885577,0.25,No Attack
DCM,Err,1648433006.885583,0.27,No Attack
DER,Ux,1648433606.885587,0.2,No Attack
DERAS,N,1648434206.885592,0.2,No Attack
DER,Ux,1648434806.885597,0.18,No Attack
DERAS,Dis,1648435406.885601,0.36,No Attack
DERAS,N,1648436006.885606,0.44,No Attack
DER,Dis,1648436606.885610,0.32,No Attack
DTM,Dis,1648437206.885615,0.35,No Attack
DER,N,1648437806.885619,0.26,No Attack
DCM,Ind,1648438406.885624,0.3,No Attack
DTM,Dis,1648439006.885629,0.22,No Attack
DCM,Ux,1648439606.885633,0.38,No Attack
DTM,Ind,1648440206.885688,0.45,No Attack
DCM,Err,1648440806.885696,0.31,No Attack
DERAS,Ind,1648441406.885701,0.42,No Attack
DCM,N,1648442006.885707,0.2,No Attack
DER,N,1648442606.885712,0.15,No Attack
DCM,Err,1648443206.885717,0.24,No Attack
DCM,Ux,1648443806.885721,0.19,No Attack
DTM,Err,1648444406.885726,0.41,No Attack
DERAS,Ux,1648445006.885730,0.37,No Attack
DTM,N,1648445606.885736,0.27,No Attack
DCM,N,1648446206.885741,0.31,No Attack
DERAS,Ind,1648446806.885746,0.18,No Attack
DER,Ind,1648447406.885751,0.34,No Attack
DERAS,Ux,1648448006.885755,0.44,No Attack
DER,N,1648448606.885761,0.38,No Attack
DCM,Err,1648449206.885765,0.17,No Attack
DERAS,N,1648449806.885770,0.21,No Attack
DER,Dis,1648450406.885775,0.2,No Attack
DERAS,Ind,1648451006.885780,0.3,No Attack
DER,Dis,1648451606.885786,0.27,No Attack
DERAS,Err,1648452206.885790,0.32,No Attack
DCM,Err,1648452806.885795,0.21,No Attack
DCM,Ind,1648453406.885800,0.31,No Attack
DCM,N,1648454006.885805,0.36,No Attack
DERAS,Err,1648454606.885810,0.41,No Attack
DERAS,Ind,1648455206.885815,0.4,No Attack
DER,Ux,1648455806.885820,0.36,No Attack
DERAS,Ind,1648456406.885825,0.25,No Attack
DTM,Ux,1648457006.885830,0.37,No Attack
DERAS,Ind,1648457606.885835,0.19,No Attack
DERAS,Dis,1648458206.885840,0.36,No Attack
DER,Ind,1648458806.885846,0.3,No Attack
DER,Ind,1648459406.885851,0.28,No Attack
DCM,Err,1648460006.885856,0.22,No Attack
DTM,Ind,1648460606.885861,0.16,No Attack
DER,Ux,1648461206.885865,0.38,No Attack
DERAS,Err,1648461806.885870,0.18,No Attack
DCM,Ind,1648462406.885874,0.38,No Attack
DERAS,Err,1648463006.885880,0.21,No Attack
DERAS,Err,1648463606.885884,0.27,No Attack
DERAS,Ind,1648464206.885889,0.17,No Attack
DER,Dis,1648464806.885893,0.29,No Attack
DERAS,Err,1648465406.885898,0.25,No Attack
DER,Ind,1648466006.885916,0.21,No Attack
DCM,Err,1648466606.885921,0.35,No Attack
DTM,N,1648467206.885926,0.35,No Attack
DER,Err,1648467806.885930,0.21,No Attack
DTM,N,1648468406.885935,0.21,No Attack
DER,Err,1648469006.885939,0.32,No Attack
DCM,Ux,1648469606.885945,0.17,No Attack
DCM,Dis,1648470206.885949,0.27,No Attack
DCM,Ind,1648470806.885954,0.28,No Attack
DTM,N,1648471406.885958,0.24,No Attack
DCM,Dis,1648472006.885963,0.34,No Attack
DTM,N,1648472606.885968,0.23,No Attack
DER,Err,1648473206.885973,0.43,No Attack
DTM,Ux,1648473806.885977,0.45,No Attack
DER,Ux,1648474406.885983,0.17,No Attack
DER,N,1648475006.885988,0.22,No Attack
DTM,Err,1648475606.885993,0.34,No Attack
DTM,Err,1648476206.885998,0.24,No Attack
DERAS,Ux,1648476806.886003,0.43,No Attack
DER,Ux,1648477406.886008,0.31,No Attack
DER,N,1648478006.886013,0.41,No Attack
DCM,Err,1648478606.886018,0.45,No Attack
DCM,N,1648479206.886023,0.32,No Attack
DER,Ux,1648479806.886028,0.35,No Attack
DCM,Ux,1648480406.886034,0.42,No Attack
DCM,Dis,1648481006.886039,0.42,No Attack
DERAS,Dis,1648481606.886044,0.19,No Attack
DCM,N,1648482206.886049,0.31,No Attack
DCM,N,1648482806.886053,0.22,No Attack
DTM,Dis,1648483406.886058,0.25,No Attack
DERAS,N,1648484006.886064,0.36,No Attack
DCM,N,1648484606.886069,0.23,No Attack
DCM,Dis,1648485206.886074,0.25,No Attack
DCM,Ind,1648485806.886079,0.38,No Attack
DERAS,N,1648486406.886083,0.31,No Attack
DERAS,N,1648487006.886088,0.36,No Attack
DERAS,N,1648487606.886093,0.34,No Attack
DTM,Ux,1648488206.886098,0.2,No Attack
DCM,Dis,1648488806.886103,0.15,No Attack
DERAS,Ind,1648489406.886108,0.3,No Attack
DTM,Ind,1648490006.886113,0.42,No Attack
DTM,Err,1648490606.886118,0.27,No Attack
DERAS,Ux,1648491206.886123,0.26,No Attack
DTM,Err,1648491806.886127,0.17,No Attack
DER,Dis,1648492406.886132,0.33,No Attack
DTM,Ux,1648493006.886137,0.3,No Attack
DERAS,Ux,1648493606.886143,0.42,No Attack
DTM,Err,1648494206.886147,0.31,No Attack
DERAS,Ux,1648494806.886158,0.43,No Attack
DTM,Ind,1648495406.886164,0.32,No Attack
DER,Ux,1648496006.886169,0.34,No Attack
DERAS,N,1648496606.886174,0.36,No Attack
DERAS,Ux,1648497206.886180,0.27,No Attack
DCM,Dis,1648497806.886184,0.26,No Attack
DCM,Dis,1648498406.886189,0.27,No Attack
DCM,Err,1648499006.886194,0.24,No Attack
DER,Ind,1648499606.886199,0.35,No Attack
DCM,Ux,1648500206.886203,0.31,No Attack
DERAS,Ind,1648500806.886208,0.27,No Attack
DTM,Ux,1648501406.886213,0.16,No Attack
