dataset3_40hr_10min_ideal2.csv,27/03/2022
Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,relative factor of certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,Max CommFreq,Min TSLC,DTM response
DER,Ex,1648429356.136800,0.21,0.1,0,0.0,0.1,1.0,1,0,1,1648429356.1368,1648429356.1368,0.001,0.21,0.105,0,0,0,0,0.24677925358506134,0.0,100000.0,Do nothing
DCM,Ex,1648429956.136807,0.15,0.1,0,0.0,0.1,1.0,1,0,1,1648429956.136807,1648429956.136807,0.001,0.15,0.049999999999999996,0,0,0,0,0.11726039399558573,0.0,100000.0,Do nothing
DERAS,Ex,1648430556.136810,0.44,0.1,0,0.0,0.1,1.0,1,0,1,1648430556.13681,1648430556.13681,0.001,0.44,0.11,0,0,0,0,0.1669331203406522,0.0,100000.0,Do nothing
DTM,Ex,1648431156.136812,0.42,0.1,0,0.0,0.1,1.0,1,0,1,1648431156.136812,1648431156.136812,0.001,0.42,0.08399999999999999,0,0,0,0,0.15198684153570663,0.0,100000.0,Do nothing
DER,Ex,1648431756.136814,0.16,0.2,0,0.0,0.0793021511719007,1.0,2,0,2,1648431756.136814,1648429356.1368,0.0008333333284490639,0.16,0.11416666666666668,2400.000014066696,0,0,0,0.14516657099116634,0.001,2400.000014066696,Do nothing
DCM,Ex,1648432356.136816,0.19,0.2,0,0.0,0.07930215133733788,1.0,2,0,2,1648432356.136816,1648429956.136807,0.0008333333301875326,0.19,0.06999999999999999,2400.000009059906,0,0,0,0.08504900548115382,0.001,2400.000009059906,Do nothing
DERAS,Ex,1648432956.136818,0.16,0.2,0,0.0,0.07930215137672769,1.0,2,0,2,1648432956.136818,1648430556.13681,0.0008333333306014538,0.16,0.11625,2400.000007867813,0,0,0,0.12435548123941187,0.001,2400.000007867813,Do nothing
DTM,Ex,1648433556.136820,0.38,0.2,0,0.0,0.07930215136884973,1.0,2,0,2,1648433556.13682,1648431156.136812,0.0008333333305186695,0.38,0.11688888888888889,2400.0000081062317,0,0,0,0.02347575581554532,0.001,2400.0000081062317,Do nothing
DER,Ex,1648434156.136822,0.15,0.2379064535157021,0,0.0,0.08705751433651307,1.0,3,0,3,1648434156.136822,1648429356.1368,0.0006249999971439441,0.15,0.11775,2400.000007867813,0,0,0,0.11174126861241156,0.001,2400.000007867813,Do nothing
DCM,Ex,1648434756.136824,0.37,0.23790645401201366,0,0.0,0.08705751442732113,1.0,3,0,3,1648434756.136824,1648429956.136807,0.0006249999977958699,0.37,0.09727272727272726,2400.000007867813,0,0,0,0.03705033431329972,0.001,2400.000007867813,Do nothing
DERAS,Ex,1648435356.136826,0.4,0.23790645413018308,0,0.0,0.08705751443596951,1.0,3,0,3,1648435356.136826,1648430556.13681,0.0006249999979200463,0.4,0.13989583333333333,2400.0000081062317,0,0,0,0.048985928715511884,0.001,2400.000007867813,Do nothing
DTM,Ex,1648435956.136828,0.15,0.2379064541065492,0,0.0,0.0870575144446179,1.0,3,0,3,1648435956.136828,1648431156.136812,0.0006249999979200463,0.15,0.11943589743589743,2400.000007867813,0,0,0,0.09766832938113851,0.001,2400.000007867813,Do nothing
DER,Ex,1648436556.136830,0.16,0.3482300573460523,0,0.0,0.10070513674872024,1.0,4,0,4,1648436556.13683,1648429356.1368,0.0005555555532375971,0.16,0.12076785714285712,2400.0000081062317,0,0,0,0.09364739806761939,0.001,2400.000007867813,Do nothing
DCM,Ex,1648437156.136832,0.15,0.3482300577092845,0,0.0,0.10070513681874933,1.0,4,0,4,1648437156.136832,1648429956.136807,0.0005555555536239235,0.15,0.10078787878787877,2400.0000081062317,0,0,0,0.08145059320962085,0.001,2400.000007867813,Do nothing
DERAS,Ex,1648437756.136834,0.16,0.34823005774387805,0,0.0,0.1007051368454271,1.0,4,0,4,1648437756.136834,1648430556.13681,0.000555555553715906,0.16,0.14115234375000002,2400.000007867813,0,0,0,0.09589427410203154,0.001,2400.000007867813,Do nothing
