Actor,Message Eval Catagory,Current Time,Transit Time,Attack Status
DER,Ex,1646184057.249654,0.31,No Attack
DCM,Ex,1646184057.249662,0.42,No Attack
DERAS,Ex,1646184057.249665,0.15,No Attack
DTM,Ex,1646184057.249667,0.15,No Attack
DER,Ex,1646185257.249669,0.28,No Attack
DCM,Ex,1646185257.249672,0.41,No Attack
DERAS,Ex,1646185257.249674,0.41,No Attack
DTM,Ex,1646185257.249676,0.36,No Attack
DER,Ex,1646186457.249678,0.33,No Attack
DCM,Ex,1646186457.249680,0.17,No Attack
DERAS,Ex,1646186457.249683,0.21,No Attack
DTM,Ex,1646186457.249685,0.27,No Attack
DER,Ex,1646187657.249687,0.4,No Attack
DCM,Ex,1646187657.249689,0.17,No Attack
DERAS,Ex,1646187657.249691,0.42,No Attack
DTM,Ex,1646187657.249693,0.36,No Attack
DER,Ex,1646188857.249695,0.32,No Attack
DCM,Ex,1646188857.249697,0.27,No Attack
DERAS,Ex,1646188857.249700,0.39,No Attack
DTM,Ex,1646188857.249702,0.41,No Attack
DER,Ex,1646190057.249704,0.19,No Attack
DCM,Ex,1646190057.249706,0.38,No Attack
DERAS,Ex,1646190057.249708,0.19,No Attack
DTM,Ex,1646190057.249710,0.34,No Attack
DER,Ex,1646191257.249712,0.43,No Attack
DCM,Ex,1646191257.249714,0.34,No Attack
DERAS,Ex,1646191257.249716,0.33,No Attack
DTM,Ex,1646191257.249719,0.22,No Attack
DER,Ex,1646192457.249721,0.34,No Attack
DCM,Ex,1646192457.249723,0.17,No Attack
DERAS,Ex,1646192457.249725,0.16,No Attack
DTM,Ex,1646192457.249727,0.3,No Attack
DER,Ex,1646193657.249729,0.26,No Attack
DCM,Ex,1646193657.249731,0.35,No Attack
DERAS,Ex,1646193657.249733,0.4,No Attack
DTM,Ex,1646193657.249735,0.24,No Attack
DER,Ex,1646194857.249738,0.45,No Attack
DCM,Ex,1646194857.249740,0.29,No Attack
DERAS,Ex,1646194857.249742,0.34,No Attack
DTM,Ex,1646194857.249744,0.24,No Attack
DER,Ex,1646196057.249746,0.28,No Attack
DCM,Ex,1646196057.249748,0.22,No Attack
DERAS,Ex,1646196057.249750,0.22,No Attack
DTM,Ex,1646196057.249752,0.27,No Attack
DER,Ex,1646197257.249754,0.2,No Attack
DCM,Ex,1646197257.249756,0.37,No Attack
DERAS,Ex,1646197257.249759,0.4,No Attack
DTM,Ex,1646197257.249761,0.16,No Attack
DER,Ex,1646198457.249763,0.36,No Attack
DCM,Ex,1646198457.249765,0.27,No Attack
DERAS,Ex,1646198457.249767,0.41,No Attack
DTM,Ex,1646198457.249769,0.28,No Attack
DER,Ex,1646199657.249771,0.42,No Attack
DCM,Ex,1646199657.249773,0.24,No Attack
DERAS,Ex,1646199657.249775,0.22,No Attack
DTM,Ex,1646199657.249777,0.15,No Attack
DER,Ex,1646200857.249779,0.29,No Attack
DCM,Ex,1646200857.249781,0.21,No Attack
DERAS,Ex,1646200857.249783,0.19,No Attack
DTM,Ex,1646200857.249785,0.38,No Attack
DER,Ex,1646202057.249787,0.35,No Attack
DCM,Ex,1646202057.249789,0.41,No Attack
DERAS,Ex,1646202057.249791,0.29,No Attack
DTM,Ex,1646202057.249794,0.24,No Attack
DER,Ex,1646203257.249796,0.35,No Attack
DCM,Ex,1646203257.249798,0.25,No Attack
DERAS,Ex,1646203257.249800,0.26,No Attack
DTM,Ex,1646203257.249802,0.34,No Attack
DER,Ex,1646204457.249804,0.42,No Attack
DCM,Ex,1646204457.249806,0.34,No Attack
DERAS,Ex,1646204457.249808,0.35,No Attack
DTM,Ex,1646204457.249811,0.34,No Attack
DER,Ex,1646205657.249813,0.25,No Attack
DCM,Ex,1646205657.249815,0.39,No Attack
DERAS,Ex,1646205657.249817,0.17,No Attack
DTM,Ex,1646205657.249819,0.41,No Attack
DER,Ex,1646206857.249821,0.28,No Attack
DCM,Ex,1646206857.249823,0.2,No Attack
DERAS,Ex,1646206857.249825,0.29,No Attack
DTM,Ex,1646206857.249827,0.16,No Attack
DER,Ex,1646208057.249829,0.23,No Attack
DCM,Ex,1646208057.249831,0.26,No Attack
DERAS,Ex,1646208057.249833,0.22,No Attack
DTM,Ex,1646208057.249835,0.32,No Attack
DER,Ex,1646209257.249837,0.16,No Attack
DCM,Ex,1646209257.249839,0.23,No Attack
DERAS,Ex,1646209257.249841,0.41,No Attack
DTM,Ex,1646209257.249844,0.27,No Attack
DER,Ex,1646210457.249846,0.16,No Attack
DCM,Ex,1646210457.249848,0.35,No Attack
DERAS,Ex,1646210457.249850,0.27,No Attack
DTM,Ex,1646210457.249852,0.26,No Attack
DER,Ex,1646211657.249854,0.43,No Attack
DCM,Ex,1646211657.249856,0.21,No Attack
DERAS,Ex,1646211657.249858,0.43,No Attack
DTM,Ex,1646211657.249860,0.4,No Attack
DER,Ex,1646212857.249862,0.41,No Attack
DCM,Ex,1646212857.249864,0.33,No Attack
DERAS,Ex,1646212857.249866,0.19,No Attack
DTM,Ex,1646212857.249868,0.33,No Attack
DER,Ex,1646214057.249870,0.3,No Attack
DCM,Ex,1646214057.249873,0.4,No Attack
DERAS,Ex,1646214057.249875,0.41,No Attack
DTM,Ex,1646214057.249877,0.28,No Attack
DER,Ex,1646215257.249879,0.37,No Attack
