Actor,Message Eval Catagory,Current Time,Transit Time,Attack Status
DER,Ex,1646183947.860553,0.22,No Attack
DCM,Ex,1646183947.860561,0.17,No Attack
DERAS,Ex,1646183947.860563,0.42,No Attack
DTM,Ex,1646183947.860566,0.28,No Attack
DER,Ex,1646184247.860568,0.26,No Attack
DCM,Ex,1646184247.860570,0.4,No Attack
DERAS,Ex,1646184247.860572,0.17,No Attack
DTM,Ex,1646184247.860574,0.31,No Attack
DER,Ex,1646184547.860576,0.22,No Attack
DCM,Ex,1646184547.860578,0.37,No Attack
DERAS,Ex,1646184547.860580,0.45,No Attack
DTM,Ex,1646184547.860582,0.34,No Attack
DER,Ex,1646184847.860584,0.25,No Attack
DCM,Ex,1646184847.860586,0.39,No Attack
DERAS,Ex,1646184847.860588,0.37,No Attack
DTM,Ex,1646184847.860590,0.32,No Attack
DER,Ex,1646185147.860592,0.35,No Attack
DCM,Ex,1646185147.860594,0.44,No Attack
DERAS,Ex,1646185147.860596,0.31,No Attack
DTM,Ex,1646185147.860598,0.43,No Attack
DER,Ex,1646185447.860600,0.34,No Attack
DCM,Ex,1646185447.860602,0.32,No Attack
DERAS,Ex,1646185447.860603,0.32,No Attack
DTM,Ex,1646185447.860605,0.3,No Attack
DER,Ex,1646185747.860607,0.15,No Attack
DCM,Ex,1646185747.860609,0.24,No Attack
DERAS,Ex,1646185747.860611,0.36,No Attack
DTM,Ex,1646185747.860613,0.3,No Attack
DER,Ex,1646186047.860615,0.42,No Attack
DCM,Ex,1646186047.860617,0.28,No Attack
DERAS,Ex,1646186047.860619,0.43,No Attack
DTM,Ex,1646186047.860621,0.42,No Attack
DER,Ex,1646186347.860623,0.16,No Attack
DCM,Ex,1646186347.860624,0.17,No Attack
DERAS,Ex,1646186347.860626,0.35,No Attack
DTM,Ex,1646186347.860628,0.42,No Attack
DER,Ex,1646186647.860630,0.43,No Attack
DCM,Ex,1646186647.860632,0.19,No Attack
DERAS,Ex,1646186647.860634,0.17,No Attack
DTM,Ex,1646186647.860636,0.27,No Attack
DER,Ex,1646186947.860638,0.23,No Attack
DCM,Ex,1646186947.860640,0.45,No Attack
DERAS,Ex,1646186947.860641,0.36,No Attack
DTM,Ex,1646186947.860643,0.16,No Attack
DER,Ex,1646187247.860645,0.27,No Attack
DCM,Ex,1646187247.860647,0.23,No Attack
DERAS,Ex,1646187247.860649,0.38,No Attack
DTM,Ex,1646187247.860651,0.16,No Attack
DER,Ex,1646187547.860653,0.27,No Attack
DCM,Ex,1646187547.860655,0.2,No Attack
DERAS,Ex,1646187547.860656,0.4,No Attack
DTM,Ex,1646187547.860658,0.19,No Attack
DER,Ex,1646187847.860660,0.19,No Attack
DCM,Ex,1646187847.860662,0.17,No Attack
DERAS,Ex,1646187847.860664,0.32,No Attack
DTM,Ex,1646187847.860666,0.45,No Attack
DER,Ex,1646188147.860668,0.38,No Attack
DCM,Ex,1646188147.860670,0.34,No Attack
DERAS,Ex,1646188147.860672,0.36,No Attack
